gene_id,display_name,candidate_grade,submission_priority_rank,literature_screen_status,literature_screen_scope,literature_screen_source,literature_screen_url,literature_screen_conclusion,screen_date
Solyc08g005770,AAT,A,1,direct_functional_study_in_tomato_fruit,"Exact Solyc ID and SlAAT1 alias; primary tomato fruit expression and biochemical-characterization study.",Goulet et al. 2015 Molecular Plant DOI:10.1016/j.molp.2014.11.007,https://doi.org/10.1016/j.molp.2014.11.007,"SlAAT1/AAT is an established flavor-volatile enzyme candidate in tomato fruit. Do not claim novelty or direct RIN regulation from atlas evidence.",2026-08-27
Solyc01g006540,loxC,A,2,direct_functional_study_in_tomato_fruit,"Exact Solyc ID and TomLoxC/SlLOXC aliases; primary tomato loss-of-function study of fruit volatiles.",Shen et al. 2014 Journal of Experimental Botany DOI:10.1093/jxb/ert382,https://doi.org/10.1093/jxb/ert382,"LoxC is an established tomato fruit flavor-volatile enzyme. Do not claim novelty or direct RIN regulation from atlas evidence.",2026-08-27
Solyc06g051800,EXP1,A,3,direct_functional_study_in_tomato_fruit,"Exact Solyc ID and SlExp1/EXP1 aliases; primary tomato fruit mutational study of softening and cell-wall metabolism.",Uluisik et al. 2016 Plant Science DOI:10.1016/j.plantsci.2015.07.001,https://doi.org/10.1016/j.plantsci.2015.07.001,"EXP1 is an established tomato fruit softening and cell-wall candidate. Do not claim novelty or direct RIN regulation from atlas evidence.",2026-08-27
Solyc10g006880,NOR,A,4,direct_functional_study_in_tomato_fruit,"Exact Solyc ID and NAC-NOR aliases; primary CRISPR/Cas9 tomato fruit study, interpreted separately from the spontaneous nor allele.",Wang et al. 2019 Scientific Reports DOI:10.1038/s41598-018-38170-6,https://doi.org/10.1038/s41598-018-38170-6,"NOR is an established ripening regulator; distinguish engineered knockout results from the spontaneous nor allele. Atlas binding and rin response do not establish a direct regulatory edge.",2026-08-27
Solyc02g088270,Solyc02g088270,A,5,no_direct_functional_fruit_ripening_study_identified_in_scoped_screen,"Exact-ID screening found annotation and paralog-level mentions, including a leaf-senescence/starch study; no direct tomato fruit-ripening functional experiment was identified.","SlCSAPlike-PGM interaction modulates starch accumulation to regulate leaf senescence in tomato (Journal of Integrative Agriculture, 2026; DOI:10.1016/j.jia.2026.02.035)",https://doi.org/10.1016/j.jia.2026.02.035,"Call this a priority for functional testing, not a novel gene or a direct RIN target. The screening result is bounded to the recorded exact-ID and context queries.",2026-08-27
Solyc03g116510,Solyc03g116510,A,6,no_direct_functional_study_identified_in_scoped_screen,"Exact-ID searches recovered a tomato small-RNA database record and supplementary expression listings, but no primary functional study for this locus.",Exact-ID searches in PubMed and Google; PubMed returned no indexed record and Google returned database/supplementary records rather than a primary functional paper.,,"Call this a priority for formal follow-up, not a novel gene. A broader synonym and full-text literature review is still required before novelty wording.",2026-08-27
Solyc10g083400,Solyc10g083400,A,7,no_direct_functional_fruit_ripening_study_identified_in_scoped_screen,"Exact Solyc ID and CYP94C1 annotation searches recovered annotation and orthology records, but no primary tomato fruit-ripening perturbation study for this locus.",Exact-ID and CYP94C1 alias screen; no primary tomato fruit-ripening functional paper retained.,,"Treat as a priority for follow-up, not as a novel gene or direct RIN target. The conclusion is limited to the recorded exact-ID and annotation-alias scope.",2026-08-27
Solyc08g014130,IPMS2,A,8,no_direct_functional_fruit_ripening_study_identified_in_scoped_screen,"Exact Solyc ID and SlIPMS2 alias; primary tomato acylsugar study identifies the locus and reports its expression context, but does not provide a fruit-ripening functional perturbation experiment for SlIPMS2.",Ning et al. 2015 Plant Physiology DOI:10.1104/pp.15.00474,https://doi.org/10.1104/pp.15.00474,"Call SlIPMS2 an evidence-tiered ripening candidate with known branched-chain-amino-acid pathway context; do not call it novel or a direct RIN target.",2026-08-27
Solyc01g108490,Solyc01g108490,A,9,no_direct_functional_fruit_ripening_study_identified_in_scoped_screen,"Exact-ID searches returned pericarp cell-identity expression work and database records, but no primary tomato fruit-ripening perturbation study for this locus.",Tourdot et al. 2024 The Plant Journal DOI:10.1111/tpj.16646 (expression context only),https://doi.org/10.1111/tpj.16646,"Treat as a priority for follow-up, not as a novel gene or direct RIN target. The conclusion is limited to the recorded exact-ID and context search.",2026-08-27
Solyc10g084600,Solyc10g084600,A,10,direct_functional_study_outside_fruit_ripening,Published tomato functional work identifies this locus as SlBGH2B in plastid/light-adaptation biology; this is not a fruit-ripening perturbation study.,"Dark-inducible BGH2 suppresses GLK transcription factors and maintains plastid homeostasis to promote light adaptation (The Plant Cell, 2025; DOI:10.1093/plcell/koaf180)",https://doi.org/10.1093/plcell/koaf180,"Do not call this gene under-annotated, novel, or a new RIN target. Retain it as a cross-context grade-A ripening candidate.",2026-08-27
