study_id,accession,source_url,organism,assay,fruit_or_tissue,design,intervention,independence_group,planned_role,status,eligibility_note
tomato_lcy_ripening,GSE108415,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108415,Solanum lycopersicum,microarray,fruit,"MG; breaker; breaker+10 days; wild-type and LCY transgenic lines",LCY genotype and developmental stage,independent_lab_1,confirmation,eligible,"Matrix audit: 27 labelled samples, 3 biological replicates per genotype-stage cell; used only to retain source-A effects with matching direction"
tomato_aba_ripening,GSE63521,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63521,Solanum lycopersicum var. cerasiforme,RNA-seq,fruit,"postharvest fruit sampled after treatment",ABA versus NDGA versus control,independent_lab_2,context,ineligible,"Matrix audit: 3 pooled libraries without biological replicates and no expression rows in series matrix; background evidence only"
tomato_spatiotemporal_atlas,SRP109982,https://www.ncbi.nlm.nih.gov/sra/?term=SRP109982,Solanum lycopersicum,RNA-seq,fruit cell and tissue atlas,"developmental and ripening stages across 11 fruit tissue/cell contexts",developmental stage,independent_lab_3,context,eligible,"Audited Supplementary Data 3: replicate-averaged RPM profiles derived from three or four biological replicates support tissue applicability; excluded from StudyShield and label permutation until individual libraries are uniformly reprocessed"
tomato_pericarp_atlas,SRP109878,https://www.ncbi.nlm.nih.gov/sra/?term=SRP109878,Solanum lycopersicum,RNA-seq,pericarp,"developmental stages and SlGRAS38-RNAi/control",developmental stage and genotype,independent_lab_3,tune,candidate,"Do not place in both training and external testing because it shares a publication family with SRP109982"
tomato_cr_mutant,GSE267238,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267238,Solanum lycopersicum,RNA-seq,pericarp,"wild type and colorless-ripening mutant at mature-green and breaker stages",genotype and developmental stage,independent_lab_4,external_test,eligible,"Audited: 12 samples in a 2 genotype × 2 stage × 3 replicate design; gene-count matrix recovered; frozen signature imported without retraining"
tomato_unripening_mutant,GSE92645,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92645,Solanum lycopersicum,microarray,fruit,"wild type and unripening mutant across MG; breaker; turning; fully ripe stages",genotype and developmental stage,independent_lab_5,context,ineligible,"Series matrix has one wild-type array per stage; fails the minimum two biological replicates per endpoint despite recoverable platform annotation"
tomato_botrytis_ripening,GSE183836,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183836,Solanum lycopersicum,RNA-seq,fruit,"postharvest Botrytis infection with ripening-associated comparisons",fungal infection and ripening,independent_lab_6,context,eligible,"Audited: 18 samples in a 2 stage × 3 treatment × 3 replicate design; host and pathogen counts require explicit host filtering"
tomato_network_stages,GSE78733,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78733,Solanum lycopersicum,microarray,pericarp,"breaker; turning; pink; red-ripe stages with 2;2;2;3 biological replicates",developmental stage,independent_lab_7,frozen_external_test,eligible,"GPL21525 annotation table archived in GSE78733 family SOFT; 33,889 one-to-one Solyc genes recovered; only breaker-to-red-ripe contrast used for frozen external validation"
tomato_demethylation,GSE94903,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94903,Solanum lycopersicum,sequencing,fruit,"ripening-induced and ripening-repressed gene regulation",DNA demethylation and ripening,independent_lab_8,context,candidate,"Mechanistic context; audit design before use as predictive cohort"
tomato_ailsa_craig_ripening,GSE42783,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42783,Solanum lycopersicum,microarray,fruit,"Ailsa Craig mature-green; turning; red-ripe fruit",developmental stage,independent_lab_9,train,eligible,"Audited: 9 samples in a 3 stage × 3 replicate design; 28,672 Solyc-labelled rows; same EUTOM3 array family as external GSE108415"
tomato_h2s_lcd1_supplement,PMC7736880_MOESM3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7736880/,Solanum lycopersicum,RNA-seq-derived FPKM supplement,fruit,"CK 0d; CK/H2S at 1d and 3d",exogenous H2S,independent_lab_10,context,ineligible,"Audited: one group-level log2 value per condition relative to CK 0d; no replicate columns; RefSeq-to-current-Solyc mapping coverage is inadequate for primary signature inference"
tomato_moneymaker_timecourse,GSE128739,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128739,Solanum lycopersicum,RNA-seq plus matched proteomics,pericarp,"9 developmental timepoints; Moneymaker; three biological libraries per timepoint except day 49 with two",developmental time course,independent_lab_11,external_test,eligible,"Audited public count table: 26 biological libraries with two technical lanes each; lanes summed before analysis; frozen signature evaluated at day 53 versus day 41 without retraining"
tomato_multitissue_atlas,GSE19326,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19326,Solanum lycopersicum,microarray,multiple fruit tissues,"67 arrays across tissues, cultivars, fruit tissues, and mature-green/yellow/orange/red stages",developmental stage and tissue,independent_lab_12,failed_candidate,ineligible,"2026-08-27 strict probe-sequence remapping recovered 156/464 frozen genes (33.6%), below the documented pre-outcome 70% coverage gate; retained only as a failed candidate audit"
tomato_polyamine_ripening,GSE12338,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE12338,Solanum lycopersicum,two-colour microarray contrast,pericarp,"azygous control and ySAMdc line at mature-green; breaker; pink-red stages, three biological replicates per genotype-stage cell",genotype and developmental stage,independent_lab_13,sensitivity,ineligible,"Audited: series matrix has 12 labelled arrays and 9,141 rows, but each value is a within-stage ySAMdc-versus-azygous two-colour log ratio (plus dye swaps), not a recoverable natural-ripening expression matrix; cannot serve as frozen-signature sensitivity validation"
tomato_exocarp_ripening,GSE235023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235023,Solanum lycopersicum,RNA-seq,exocarp,"Ailsa Craig exocarp at mature-green and red-ripe stages; two libraries per stage",developmental stage and fruit tissue,independent_lab_14,sensitivity,eligible,"Audited public count matrix: stable Solyc IDs and two replicate libraries per endpoint with within-stage Spearman 0.974–0.977; frozen signature imported without retraining as a tissue-specific sensitivity test"
tomato_no19_no20_ripening,GSE285925,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285925,Solanum lycopersicum,RNA-seq,fruit,"Yellow No.19 and red No.20 fruit at breaker 40 DAA and mature 55 DAA; three biological replicates per genotype-stage cell",developmental stage and genotype,independent_lab_15,prospective_external,eligible,"Audited public integer-count table: 12 libraries and 23,847 version-cleaned Solyc genes; the two genotype strata are retained separately but share one independence group and must be held out together"
