sample_id,study_id,stage,stage_ordinal,treatment,replicate,include_primary
BB1,GSE183836,mature_green,0,healthy,1,true
BB2,GSE183836,mature_green,0,healthy,2,true
BB3,GSE183836,mature_green,0,healthy,3,true
BB4,GSE183836,mature_green,0,mock,1,true
BB5,GSE183836,mature_green,0,mock,2,true
BB6,GSE183836,mature_green,0,mock,3,true
BB7,GSE183836,mature_green,0,botrytis,1,true
BB8,GSE183836,mature_green,0,botrytis,2,true
BB9,GSE183836,mature_green,0,botrytis,3,true
BB10,GSE183836,red_ripe,3,healthy,1,true
BB11,GSE183836,red_ripe,3,healthy,2,true
BB12,GSE183836,red_ripe,3,healthy,3,true
BB13,GSE183836,red_ripe,3,mock,1,true
BB14,GSE183836,red_ripe,3,mock,2,true
BB15,GSE183836,red_ripe,3,mock,3,true
BB16,GSE183836,red_ripe,3,botrytis,1,true
BB17,GSE183836,red_ripe,3,botrytis,2,true
BB18,GSE183836,red_ripe,3,botrytis,3,true
