sample_id,study_id,title,genotype,stage,stage_ordinal,replicate
GSM2897897,GSE108415,Wild type (cv Money Maker) biological replicate 1 Mature Green stage,WT,mature_green,0,1
GSM2897898,GSE108415,Wild type (cv Money Maker)  biological replicate 2 Mature Green stage,WT,mature_green,0,2
GSM2897899,GSE108415,Wild type (cv Money Maker)  biological replicate 3 Mature Green stage,WT,mature_green,0,3
GSM2897900,GSE108415,Transgenic line LCY1 (cv Money Maker)  biological replicate 1 Mature Green stage,LCY1,mature_green,0,1
GSM2897901,GSE108415,Transgenic line LCY1 (cv Money Maker) biological replicate 2 Mature Green stage,LCY1,mature_green,0,2
GSM2897902,GSE108415,Transgenic line LCY1 (cv Money Maker) biological replicate 3 Mature Green stage,LCY1,mature_green,0,3
GSM2897903,GSE108415,Transgenic line LCY3 (cv Money Maker) biological replicate 1 Mature Green stage,LCY3,mature_green,0,1
GSM2897904,GSE108415,Transgenic line LCY3 (cv Money Maker) biological replicate 2 Mature Green stage,LCY3,mature_green,0,2
GSM2897905,GSE108415,Transgenic line LCY3 (cv Money Maker) biological replicate 3 Mature Green stage,LCY3,mature_green,0,3
GSM2897906,GSE108415,Wild type (cv Money Maker) biological replicate 1 Breaker stage,WT,breaker,1,1
GSM2897907,GSE108415,Wild type (cv Money Maker) biological replicate 2 Breaker stage,WT,breaker,1,2
GSM2897908,GSE108415,Wild type (cv Money Maker) biological replicate 3 Breaker stage,WT,breaker,1,3
GSM2897909,GSE108415,Transgenic line LCY1 (cv Money Maker) biological replicate 1 Breaker stage,LCY1,breaker,1,1
GSM2897910,GSE108415,Transgenic line LCY1 (cv Money Maker) biological replicate 2 Breaker stage,LCY1,breaker,1,2
GSM2897911,GSE108415,Transgenic line LCY1 (cv Money Maker) biological replicate 3 Breaker stage,LCY1,breaker,1,3
GSM2897912,GSE108415,Transgenic line LCY3 (cv Money Maker) biological replicate 1 Breaker stage,LCY3,breaker,1,1
GSM2897913,GSE108415,Transgenic line LCY3 (cv Money Maker) biological replicate 2 Breaker stage,LCY3,breaker,1,2
GSM2897914,GSE108415,Transgenic line LCY3 (cv Money Maker) biological replicate 3 Breaker stage,LCY3,breaker,1,3
GSM2897915,GSE108415,Wild type (cv Money Maker) biological replicate 1 Breaker+10 stage,WT,breaker_plus_10,3,1
GSM2897916,GSE108415,Wild type (cv Money Maker)  biological replicate 2 Breaker+10 stage,WT,breaker_plus_10,3,2
GSM2897917,GSE108415,Wild type (cv Money Maker)  biological replicate 3 Breaker+10 stage,WT,breaker_plus_10,3,3
GSM2897918,GSE108415,Transgenic line LCY1 (cv Money Maker) biological replicate 1 Breaker+10 stage,LCY1,breaker_plus_10,3,1
GSM2897919,GSE108415,Transgenic line LCY1 (cv Money Maker) biological replicate 2 Breaker+10 stage,LCY1,breaker_plus_10,3,2
GSM2897920,GSE108415,Transgenic line LCY1 (cv Money Maker) biological replicate 3 Breaker+10 stage,LCY1,breaker_plus_10,3,3
GSM2897921,GSE108415,Transgenic line LCY3 (cv Money Maker) biological replicate 1 Breaker+10 stage,LCY3,breaker_plus_10,3,1
GSM2897922,GSE108415,Transgenic line LCY3 (cv Money Maker) biological replicate 2 Breaker+10 stage,LCY3,breaker_plus_10,3,2
GSM2897923,GSE108415,Transgenic line LCY3 (cv Money Maker) biological replicate 3 Breaker+10 stage,LCY3,breaker_plus_10,3,3
