sample_id,study_id,stage,stage_ordinal,treatment,replicate,include_primary
BB1,GSE183836,mature_green,0,healthy,1,True
BB2,GSE183836,mature_green,0,healthy,2,True
BB3,GSE183836,mature_green,0,healthy,3,True
BB4,GSE183836,mature_green,0,mock,1,True
BB5,GSE183836,mature_green,0,mock,2,True
BB6,GSE183836,mature_green,0,mock,3,True
BB7,GSE183836,mature_green,0,botrytis,1,True
BB8,GSE183836,mature_green,0,botrytis,2,True
BB9,GSE183836,mature_green,0,botrytis,3,True
BB10,GSE183836,red_ripe,3,healthy,1,True
BB11,GSE183836,red_ripe,3,healthy,2,True
BB12,GSE183836,red_ripe,3,healthy,3,True
BB13,GSE183836,red_ripe,3,mock,1,True
BB14,GSE183836,red_ripe,3,mock,2,True
BB15,GSE183836,red_ripe,3,mock,3,True
BB16,GSE183836,red_ripe,3,botrytis,1,True
BB17,GSE183836,red_ripe,3,botrytis,2,True
BB18,GSE183836,red_ripe,3,botrytis,3,True
