sample_id,study_id,title,cultivar,tissue,stage,stage_ordinal,replicate
GSM480180,GSE19326,"Micro-Tom flesh of mature green fruit, biological rep 1",Micro-Tom,flesh,mature_green,1,1
GSM480181,GSE19326,"Micro-Tom flesh of mature green fruit, biological rep 2",Micro-Tom,flesh,mature_green,1,2
GSM480182,GSE19326,"Micro-Tom flesh of mature green fruit, biological rep 3",Micro-Tom,flesh,mature_green,1,3
GSM480183,GSE19326,"Micro-Tom flesh of yellow fruit, biological rep 1",Micro-Tom,flesh,yellow,2,1
GSM480184,GSE19326,"Micro-Tom flesh of yellow fruit, biological rep 2",Micro-Tom,flesh,yellow,2,2
GSM480185,GSE19326,"Micro-Tom flesh of orange fruit, biological rep 1",Micro-Tom,flesh,orange,3,1
GSM480186,GSE19326,"Micro-Tom flesh of orange fruit, biological rep 2",Micro-Tom,flesh,orange,3,2
GSM480187,GSE19326,"Micro-Tom flesh of red fruit, biological rep 1",Micro-Tom,flesh,red,4,1
GSM480188,GSE19326,"Micro-Tom flesh of red fruit, biological rep 2",Micro-Tom,flesh,red,4,2
GSM480189,GSE19326,"Micro-Tom flesh of red fruit, biological rep 3",Micro-Tom,flesh,red,4,3
