gene_id,source_sheet,source_row,source_file
Solyc00g017880,overlap_2or3reps_FDR0.05_IT (5),6,108118_Supplemental_Dataset1.xls
Solyc00g017890,overlap_2or3reps_FDR0.05_IT (5),7,108118_Supplemental_Dataset1.xls
Solyc00g017900,overlap_2or3reps_FDR0.05_IT (5),8,108118_Supplemental_Dataset1.xls
Solyc00g017910,overlap_2or3reps_FDR0.05_IT (5),9,108118_Supplemental_Dataset1.xls
Solyc00g020940,overlap_2or3reps_FDR0.05_IT (5),10,108118_Supplemental_Dataset1.xls
Solyc00g020950,overlap_2or3reps_FDR0.05_IT (5),11,108118_Supplemental_Dataset1.xls
Solyc00g020960,overlap_2or3reps_FDR0.05_IT (5),12,108118_Supplemental_Dataset1.xls
Solyc00g023250,overlap_2or3reps_FDR0.05_IT (5),13,108118_Supplemental_Dataset1.xls
Solyc00g023260,overlap_2or3reps_FDR0.05_IT (5),14,108118_Supplemental_Dataset1.xls
Solyc00g024020,overlap_2or3reps_FDR0.05_IT (5),15,108118_Supplemental_Dataset1.xls
Solyc00g024030,overlap_2or3reps_FDR0.05_IT (5),18,108118_Supplemental_Dataset1.xls
Solyc00g024040,overlap_2or3reps_FDR0.05_IT (5),21,108118_Supplemental_Dataset1.xls
Solyc00g024680,overlap_2or3reps_FDR0.05_IT (5),24,108118_Supplemental_Dataset1.xls
Solyc00g024690,overlap_2or3reps_FDR0.05_IT (5),30,108118_Supplemental_Dataset1.xls
Solyc00g025520,overlap_2or3reps_FDR0.05_IT (5),36,108118_Supplemental_Dataset1.xls
Solyc00g025530,overlap_2or3reps_FDR0.05_IT (5),39,108118_Supplemental_Dataset1.xls
Solyc00g025540,overlap_2or3reps_FDR0.05_IT (5),42,108118_Supplemental_Dataset1.xls
Solyc00g025550,overlap_2or3reps_FDR0.05_IT (5),47,108118_Supplemental_Dataset1.xls
Solyc00g025650,overlap_2or3reps_FDR0.05_IT (5),51,108118_Supplemental_Dataset1.xls
Solyc00g026860,overlap_2or3reps_FDR0.05_IT (5),53,108118_Supplemental_Dataset1.xls
Solyc00g026870,overlap_2or3reps_FDR0.05_IT (5),54,108118_Supplemental_Dataset1.xls
Solyc00g026880,overlap_2or3reps_FDR0.05_IT (5),56,108118_Supplemental_Dataset1.xls
Solyc00g026890,overlap_2or3reps_FDR0.05_IT (5),58,108118_Supplemental_Dataset1.xls
Solyc00g026900,overlap_2or3reps_FDR0.05_IT (5),60,108118_Supplemental_Dataset1.xls
Solyc00g026910,overlap_2or3reps_FDR0.05_IT (5),61,108118_Supplemental_Dataset1.xls
Solyc00g026920,overlap_2or3reps_FDR0.05_IT (5),63,108118_Supplemental_Dataset1.xls
Solyc00g028090,overlap_2or3reps_FDR0.05_IT (5),64,108118_Supplemental_Dataset1.xls
Solyc00g028100,overlap_2or3reps_FDR0.05_IT (5),67,108118_Supplemental_Dataset1.xls
Solyc00g028110,overlap_2or3reps_FDR0.05_IT (5),70,108118_Supplemental_Dataset1.xls
Solyc00g028120,overlap_2or3reps_FDR0.05_IT (5),73,108118_Supplemental_Dataset1.xls
Solyc00g028550,overlap_2or3reps_FDR0.05_IT (5),76,108118_Supplemental_Dataset1.xls
Solyc00g028560,overlap_2or3reps_FDR0.05_IT (5),77,108118_Supplemental_Dataset1.xls
Solyc00g028960,overlap_2or3reps_FDR0.05_IT (5),78,108118_Supplemental_Dataset1.xls
Solyc00g029060,overlap_2or3reps_FDR0.05_IT (5),79,108118_Supplemental_Dataset1.xls
Solyc00g029070,overlap_2or3reps_FDR0.05_IT (5),80,108118_Supplemental_Dataset1.xls
Solyc00g029080,overlap_2or3reps_FDR0.05_IT (5),81,108118_Supplemental_Dataset1.xls
Solyc00g031020,overlap_2or3reps_FDR0.05_IT (5),82,108118_Supplemental_Dataset1.xls
Solyc00g031030,overlap_2or3reps_FDR0.05_IT (5),83,108118_Supplemental_Dataset1.xls
Solyc00g031040,overlap_2or3reps_FDR0.05_IT (5),85,108118_Supplemental_Dataset1.xls
Solyc00g031050,overlap_2or3reps_FDR0.05_IT (5),88,108118_Supplemental_Dataset1.xls
Solyc00g031060,overlap_2or3reps_FDR0.05_IT (5),90,108118_Supplemental_Dataset1.xls
Solyc00g031390,overlap_2or3reps_FDR0.05_IT (5),92,108118_Supplemental_Dataset1.xls
Solyc00g031490,overlap_2or3reps_FDR0.05_IT (5),94,108118_Supplemental_Dataset1.xls
Solyc00g031500,overlap_2or3reps_FDR0.05_IT (5),97,108118_Supplemental_Dataset1.xls
Solyc00g031710,overlap_2or3reps_FDR0.05_IT (5),99,108118_Supplemental_Dataset1.xls
