gene_id,original_direction,fc_wt,fc_rin,ecs,source_sheet,source_row,source_file
Solyc01g006540,positive,227.2244766,9.137578531,24.86703407,Sheet1,7,108118_Supplemental_Dataset2.xls
Solyc01g008510,positive,9.881302071,4.227126568,2.337593141,Sheet1,8,108118_Supplemental_Dataset2.xls
Solyc01g008910,positive,4.000948504,1.07977032,3.705369956,Sheet1,9,108118_Supplemental_Dataset2.xls
Solyc01g009010,positive,7.91468054,1.460027008,5.420913788,Sheet1,10,108118_Supplemental_Dataset2.xls
Solyc01g010870,positive,3.518699498,1.048632911,3.35551122,Sheet1,11,108118_Supplemental_Dataset2.xls
Solyc01g067670,positive,211.742959,14.03958643,15.0818516,Sheet1,12,108118_Supplemental_Dataset2.xls
Solyc01g081610,positive,10.84719162,2.035736263,5.328387484,Sheet1,13,108118_Supplemental_Dataset2.xls
Solyc01g087970,positive,2.434684952,0.355473594,6.849130268,Sheet1,14,108118_Supplemental_Dataset2.xls
Solyc01g088590,positive,27.48141149,0.436322406,62.98418575,Sheet1,15,108118_Supplemental_Dataset2.xls
Solyc01g094790,positive,14.64116352,1.157816215,12.64549877,Sheet1,16,108118_Supplemental_Dataset2.xls
Solyc01g095080,positive,135.5530627,3.565897745,38.01372682,Sheet1,17,108118_Supplemental_Dataset2.xls
Solyc01g095580,positive,3.108744808,1.133927047,2.741573911,Sheet1,18,108118_Supplemental_Dataset2.xls
Solyc01g095900,positive,18.45915149,1.902350173,9.703340506,Sheet1,19,108118_Supplemental_Dataset2.xls
Solyc01g096660,positive,3.854413541,1.906711893,2.021497613,Sheet1,20,108118_Supplemental_Dataset2.xls
Solyc01g097880,positive,7.482158008,2.834615261,2.639567391,Sheet1,21,108118_Supplemental_Dataset2.xls
Solyc01g098110,positive,26.46501378,2.147494517,12.32367001,Sheet1,22,108118_Supplemental_Dataset2.xls
Solyc01g098740,positive,36.29873753,0.196885822,184.3644051,Sheet1,23,108118_Supplemental_Dataset2.xls
Solyc01g099190,positive,36.2912229,3.686314772,9.844851878,Sheet1,24,108118_Supplemental_Dataset2.xls
Solyc01g099200,positive,3.615695371,0.430059615,8.407428275,Sheet1,25,108118_Supplemental_Dataset2.xls
Solyc01g100460,positive,12.07098968,3.028336033,3.986013952,Sheet1,26,108118_Supplemental_Dataset2.xls
Solyc01g106500,positive,3.718788674,1.262116805,2.946469503,Sheet1,27,108118_Supplemental_Dataset2.xls
Solyc01g107400,positive,15.07644139,3.450367823,4.369517154,Sheet1,28,108118_Supplemental_Dataset2.xls
Solyc01g107830,positive,51.92593558,2.134700392,24.32469482,Sheet1,29,108118_Supplemental_Dataset2.xls
Solyc01g107840,positive,64.32165547,1.884041081,34.14026165,Sheet1,30,108118_Supplemental_Dataset2.xls
Solyc02g031840,positive,3.096274474,1.361670935,2.273878655,Sheet1,31,108118_Supplemental_Dataset2.xls
Solyc02g036350,positive,35.0507183,4.537697384,7.724340196,Sheet1,32,108118_Supplemental_Dataset2.xls
Solyc02g037500,positive,30.1298865,5.110141422,5.896096411,Sheet1,33,108118_Supplemental_Dataset2.xls
