gene_id,replicate,source_row,PEAK_ID,CHROMOSOME,PEAK_START,PEAK_END,PEAK_SCORE,PEAK_FDR,FEATURE_TRACK,FEATURE_STRAND,FEATURE_START,FEATURE_END,FEATURE_TO_PEAK_DISTANCE,source_url,coordinate_reference,coordinate_convention,coordinate_conversion
Solyc03g114360,GSM989347,2,0,Solyc03,58424679,58425138,2.447484,0,transcription_start_site,-,58424179,58424179,-729,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc10g006880,GSM989347,18,15,Solyc10,1309784,1310174,2.105208,0,transcription_start_site,-,1308341,1308341,-1638,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc10g079050,GSM989347,51,40,Solyc10,60007518,60007978,1.948103,0,transcription_start_site,-,60006146,60006146,-1602,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc04g080250,GSM989347,55,42,Solyc04,62083903,62084138,1.929474,0,transcription_start_site,+,62084379,62084379,-358,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc02g084600,GSM989347,75,58,Solyc02,42271657,42271943,1.855427,0,transcription_start_site,-,42271326,42271326,-474,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc03g118060,GSM989347,97,70,Solyc03,61100317,61100484,1.827455,0,transcription_start_site,-,61098794,61098794,-1606,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc01g066740,GSM989347,139,99,Solyc01,67294948,67295304,1.783778,0.00059,transcription_start_site,-,67294689,67294689,-437,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc06g053950,GSM989347,142,101,Solyc06,33335735,33337609,1.772439,0,transcription_start_site,-,33333111,33333111,-3561,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc08g080630,GSM989347,203,145,Solyc08,61046797,61047093,1.707691,0.00047,transcription_start_site,-,61046760,61046760,-185,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
Solyc06g068900,GSM989347,237,167,Solyc06,39106736,39107208,1.675761,0.00085,transcription_start_site,+,39107375,39107375,-403,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM989347,"Original study: tomato genome v2.31, ITAG2; peak-file assembly label not independently specified",Source start/end retained; zero/one-based convention unverified; auxiliary overlap uses inclusive endpoints,None; not converted to Ensembl Plants release 63
