gene_id,display_name,candidate_grade,prior_241_membership,prior_1200_membership,comparison_class,prior_direction,prior_fc_wt,prior_fc_rin,prior_ecs,prior_dataset2_row,prior_dataset1_row,current_rin1_response,cross_allele_sign_compatibility,current_binding_replicates,qualifying_peak_rows,any_cross_replicate_interval_overlap,min_abs_feature_to_peak_distance_bp,max_abs_feature_to_peak_distance_bp,source_url,mapping_rule,interpretation
Solyc08g005770,AAT,A,listed,listed,prior_241,positive,136.1853715,19.10172754,7.129479322,97,2111,lower_in_rin1,compatible,2,5,True,401,4683,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc01g006540,loxC,A,listed,listed,prior_241,positive,227.2244766,9.137578531,24.86703407,7,194,lower_in_rin1,compatible,2,2,True,205,361,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc06g051800,EXP1,A,listed,listed,prior_241,positive,84.93196166,1.000547956,84.88544817,79,1641,lower_in_rin1,compatible,2,2,True,1087,1149,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc10g006880,NOR,A,listed,listed,prior_241,positive,9.434519871,4.562054242,2.06804202,122,2506,lower_in_rin1,compatible,3,4,True,726,1762,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc02g088270,Solyc02g088270,A,listed,listed,prior_241,positive,125.5445073,20.04960487,6.261694834,46,847,lower_in_rin1,compatible,3,5,True,179,1494,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc03g116510,Solyc03g116510,A,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,1158,higher_in_rin1,not_assessed,2,2,True,565,1173,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc10g083400,Solyc10g083400,A,listed,listed,prior_241,positive,131.5048137,12.42884601,10.58061332,128,2676,lower_in_rin1,compatible,2,2,True,677,801,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc08g014130,IPMS2,A,listed,listed,prior_241,positive,25.91435193,3.58223711,7.234125251,98,2124,lower_in_rin1,compatible,2,2,True,447,676,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc01g108490,Solyc01g108490,A,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,530,higher_in_rin1,not_assessed,2,2,True,591,641,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc10g084600,Solyc10g084600,A,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,2695,lower_in_rin1,not_assessed,2,2,True,1037,1429,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc02g070890,Solyc02g070890,A,listed,listed,prior_241,positive,48.48526396,4.710852507,10.29224835,35,677,lower_in_rin1,compatible,2,2,True,962,1243,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc09g092430,Solyc09g092430,A,not_listed_exact_ID,not_listed_exact_ID,reprocessed_association_only,not_available,,,,,,higher_in_rin1,not_assessed,2,2,True,4095,4173,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc08g080630,ER1,A,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,2290,lower_in_rin1,not_assessed,3,3,True,185,427,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc01g104850,Solyc01g104850,A,listed,listed,prior_241,negative,0.016513419,0.192394687,0.08583095,154,461,higher_in_rin1,compatible,2,2,True,573,649,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc07g063600,Solyc07g063600,A,not_listed_exact_ID,not_listed_exact_ID,reprocessed_association_only,not_available,,,,,,higher_in_rin1,not_assessed,3,3,True,3269,3620,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc03g118060,Solyc03g118060,A,listed,listed,prior_241,positive,80.21244407,18.87608742,4.249421095,61,1190,lower_in_rin1,compatible,2,2,True,1606,1606,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc10g079050,Solyc10g079050,A,listed,listed,prior_241,positive,23.77081029,1.339217885,17.74977064,126,2583,lower_in_rin1,compatible,2,2,True,1160,1602,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc07g042390,Solyc07g042390,A,listed,listed,prior_241,negative,0.002675265,0.057289558,0.046697248,226,1957,higher_in_rin1,compatible,3,3,True,322,640,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc01g095080,ACS2,B,listed,listed,prior_241,positive,135.5530627,3.565897745,38.01372682,17,332,lower_in_rin1,compatible,2,2,True,1076,1391,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc08g005610,CYP707A2,B,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,2105,lower_in_rin1,not_assessed,2,2,True,447,564,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc12g017530,Solyc12g017530,B,not_listed_exact_ID,listed,prior_binding_only,not_available,,,,,2882,lower_in_rin1,not_assessed,2,2,True,166,166,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc07g054750,Solyc07g054750,B,not_listed_exact_ID,not_listed_exact_ID,reprocessed_association_only,not_available,,,,,,lower_in_rin1,not_assessed,2,3,True,1819,4976,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc02g083380,Solyc02g083380,B,listed,listed,prior_241,positive,6.079870239,2.050672633,2.964817564,43,783,lower_in_rin1,compatible,3,3,True,1437,1560,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc06g068900,Solyc06g068900,B,listed,listed,prior_241,positive,31.44643209,2.013077316,15.62107517,81,1753,lower_in_rin1,compatible,2,2,True,403,403,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
Solyc03g114360,Solyc03g114360,B,listed,listed,prior_241,positive,4.679580158,1.674257154,2.795018761,56,1144,lower_in_rin1,compatible,3,3,True,640,933,https://doi.org/10.1105/tpc.112.108118,exact canonical Solyc ID; no gene-model equivalence claim,Prior list membership only; no novelty or causal inference. Gene-level replicate association is not the original site-overlap/window pipeline.
