gene_id,evidence_layer,assay,effect_direction,context,source_id,source_url,biological_replicates,admission_status,claim_boundary,independent_perturbation_support,binding_replicates,source_peak_count,max_peak_score,min_peak_fdr,replicate_ids,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,differential,perturbation_direction,evidence_grade
Solyc03g114360,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,3,2.447484,0,GSM989347;GSM989348;GSM989349,2682.4177835900314,-2.341958905045003,0.08589194308736162,-27.266339785362305,1.0639012881517496e-163,4.1523773630772e-162,TRUE,lower_in_rin1,binding_plus_independent_perturbation_expression
Solyc10g006880,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,4,2.105208,0,GSM989347;GSM989348;GSM989349,7709.397652099026,-1.506524170973489,0.09318764196734719,-16.166566072155497,8.68037143037212e-59,1.0539713870840863e-57,TRUE,lower_in_rin1,binding_plus_independent_perturbation_expression
Solyc02g084600,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,3,1.855427,0,GSM989347;GSM989348;GSM989349,125.44286150219565,1.550401182588136,0.21866200780659473,7.090400377003109,1.3372455210694827e-12,4.505605647694336e-12,TRUE,higher_in_rin1,binding_plus_independent_perturbation_expression
Solyc03g082560,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,5,1.778781,0.00183,GSM989347;GSM989348;GSM989349,184.50964220701377,1.942328513045184,0.19154953139893274,10.140084910988229,3.667806301685065e-24,1.9819307243937844e-23,TRUE,higher_in_rin1,binding_plus_independent_perturbation_expression
Solyc06g053950,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,5,1.772439,0,GSM989347;GSM989348;GSM989349,853.5573624497629,-1.7895398758676633,0.47164892856265134,-3.7942201656670367,1.4810821240162224e-4,2.790481980710281e-4,TRUE,lower_in_rin1,binding_plus_independent_perturbation_expression
Solyc08g080630,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,3,1.707691,4.7e-4,GSM989347;GSM989348;GSM989349,1662.8823185256476,-3.140820053068308,0.13111910500220886,-23.953946703765233,8.405327662183282e-127,2.306196095730079e-125,TRUE,lower_in_rin1,binding_plus_independent_perturbation_expression
Solyc02g083380,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,3,1.585546,0.00702,GSM989347;GSM989348;GSM989349,1865.208548833307,-3.062662058547518,0.09436179181394246,-32.45659074158227,4.372667703357736e-231,2.6705232687981816e-229,TRUE,lower_in_rin1,binding_plus_independent_perturbation_expression
Solyc02g088270,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,5,1.553726,0.01439,GSM989347;GSM989348;GSM989349,13636.620256414164,-1.7163352117949588,0.07141926793505551,-24.031823083872734,1.2932418040033735e-127,3.602070315605154e-126,TRUE,lower_in_rin1,binding_plus_independent_perturbation_expression
Solyc07g042390,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,3,1.54599,0.00105,GSM989347;GSM989348;GSM989349,30.155406233301633,5.7150502381306385,0.8936425391424054,6.395230741382515,1.603050933245369e-10,4.798711171771637e-10,TRUE,higher_in_rin1,binding_plus_independent_perturbation_expression
Solyc07g063600,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy and an independently generated rin-1 expression change support a context-limited candidate; regulatory sign, direct causality, and mechanism are not established.",FALSE,3,3,1.405902,0.01761,GSM989347;GSM989348;GSM989349,117.58930322229554,1.8035430548518003,0.20895256705196028,8.631351508609669,6.0631239336289924e-18,2.5950735104051633e-17,TRUE,higher_in_rin1,binding_plus_independent_perturbation_expression
