gene_id,evidence_layer,assay,effect_direction,context,source_id,source_url,biological_replicates,admission_status,claim_boundary,independent_perturbation_support,binding_replicates,source_peak_count,max_peak_score,min_peak_fdr,replicate_ids
Solyc03g114360,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,3,2.447484,0.0,GSM989347;GSM989348;GSM989349
Solyc10g006880,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,4,2.105208,0.0,GSM989347;GSM989348;GSM989349
Solyc02g084600,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,3,1.855427,0.0,GSM989347;GSM989348;GSM989349
Solyc03g082560,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,5,1.778781,0.00183,GSM989347;GSM989348;GSM989349
Solyc06g053950,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,5,1.772439,0.0,GSM989347;GSM989348;GSM989349
Solyc08g080630,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,3,1.707691,0.00047,GSM989347;GSM989348;GSM989349
Solyc02g083380,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,3,1.585546,0.00702,GSM989347;GSM989348;GSM989349
Solyc02g088270,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,5,1.553726,0.01439,GSM989347;GSM989348;GSM989349
Solyc07g042390,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,3,1.54599,0.00105,GSM989347;GSM989348;GSM989349
Solyc07g063600,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,3,3,1.405902,0.01761,GSM989347;GSM989348;GSM989349
Solyc10g079050,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,2,2,1.948103,0.0,GSM989347;GSM989349
Solyc04g080250,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,2,2,1.929474,0.0,GSM989347;GSM989348
Solyc02g083840,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,2,2,1.903314,0.0,GSM989347;GSM989348
Solyc03g118060,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,2,2,1.827455,0.0,GSM989347;GSM989349
Solyc01g066740,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,2,2,1.783778,0.00059,GSM989347;GSM989349
Solyc08g005770,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,2,5,1.718296,0.0,GSM989347;GSM989349
Solyc01g109920,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,2,2,1.702693,0.03509,GSM989348;GSM989349
Solyc06g068900,chromatin,RIN_ChIP_chip,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,GSE40257;PMID:23386264,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40257,three_source_reported,admitted,"RIN occupancy only; no regulatory sign, causality, or activation magnitude inferred",false,2,2,1.675761,0.00085,GSM989347;GSM989349
