gene_id,binding_replicates,source_peak_count,max_peak_score,min_peak_fdr,replicate_ids,admitted_binding
Solyc00g055940,3,8,3.97564,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g055950,3,5,3.97564,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g055960,3,5,3.97564,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g028090,3,3,3.761136,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g028100,3,3,3.761136,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g028110,3,3,3.761136,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g028120,3,3,3.761136,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g055970,3,4,3.761136,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g055980,3,3,3.761136,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g031020,3,9,3.516912,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc00g031060,3,9,3.516912,0.00047,GSM989347;GSM989348;GSM989349,True
Solyc00g088080,3,3,3.364003,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc00g088090,3,6,3.364003,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g088190,3,3,3.364003,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc00g088200,3,6,3.364003,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g088210,3,6,3.364003,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g088310,3,6,3.364003,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g031040,3,6,3.287548,0.01119,GSM989347;GSM989348;GSM989349,True
Solyc00g090630,3,7,3.267872,0.00619,GSM989347;GSM989348;GSM989349,True
Solyc00g090640,3,7,3.267872,0.00619,GSM989347;GSM989348;GSM989349,True
Solyc00g090650,3,5,3.267872,0.00619,GSM989347;GSM989348;GSM989349,True
Solyc00g090660,3,5,3.267872,0.00619,GSM989347;GSM989348;GSM989349,True
Solyc00g036740,3,3,3.082898,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g036750,3,3,3.082898,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g036760,3,3,3.082898,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g065610,3,6,3.082898,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc00g065620,3,6,3.082898,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc00g065630,3,3,3.082898,0.01439,GSM989347;GSM989348;GSM989349,True
Solyc00g026860,3,8,3.058184,0.0,GSM989347;GSM989348;GSM989349,True
Solyc00g026870,3,7,3.058184,0.0,GSM989347;GSM989348;GSM989349,True
