gene_id,effect_source_a,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc00g060810,0.9264322916666669,Major latex-like protein  IPR000916  Bet v I allergen,4.546408357106287,True,4.633308333049806,2.60679039738498e-10,1.54667243337501e-09,,,,,,True,False
Solyc10g007600,-0.8172781808035714,"L-lactate dehydrogenase   IPR012133  Alpha-hydroxy acid dehydrogenase, FMN-dependent",-2.9467960226179515,True,-2.9494746054105576,1.27009013921795e-16,1.26832333580093e-14,2.0,2.5215056311547697,2.5215056311547697,5.04121205035685e-11,Solyc10g007600.2.1_S365;Solyc10g007600.2.1_T159,True,True
Solyc03g121180,-0.7310500372023809,"GDSL esterase_lipase At5g22810  IPR001087  Lipase, GDSL",-2.3685960326987905,True,-2.366902690136677,6.53026168008149e-15,2.46982833244954e-13,,,,,,True,False
Solyc11g010960,-0.7101585751488095,"Alcohol dehydrogenase  IPR002085  Alcohol dehydrogenase superfamily, zinc-containing",-3.357470476382516,True,-3.3578823507518263,3.74573140435098e-18,1.40873045939954e-15,3.0,2.0586512954573015,2.0586512954573015,2.07159697311163e-10,Solyc11g010960.1.1_S4;Solyc11g010960.1.1_T26,True,True
Solyc10g054900,-0.7546851748511905,,,,,,,,,,,,,
Solyc09g083190,-0.7066476004464286,,,,,,,,,,,,,
Solyc03g007780,0.7007649739583335,,,,,,,,,,,,,
Solyc06g071290,-0.7240513392857143,Betaine aldehyde dehydrogenase  IPR015590  Aldehyde dehydrogenase,-1.2957506388672697,True,-1.2968238348412404,6.25378624344346e-13,9.37329715543431e-12,,,,,,True,False
Solyc08g005770,0.8120465959821429,Alcohol acetyltransferase  IPR003480  Transferase,2.930122717526551,True,2.9303470393013704,1.04570884974075e-17,2.65677540304307e-15,2.0,1.0958668802283147,-1.0958668802283147,3.02260631850803e-08,Solyc08g005770.2.1_S203;Solyc08g005770.2.1_S204,True,True
Solyc02g065260,0.6795538039434523,,,,,,,,,,,,,
Solyc12g088220,0.7594459170386907,Branched-chain-amino-acid aminotransferase  IPR005786  Branched-chain amino acid aminotransferase II,2.0293790053079395,True,2.0291302830870275,4.66325719895285e-15,1.88395590837695e-13,1.0,2.0712392920293388,-2.0712392920293388,1.27996299095885e-10,Solyc12g088220.1.1_S219,True,True
Solyc02g089080,-0.7334333147321428,Rapid alkalinization factor 5,1.0114022661852233,True,1.05769983569929,1.34598111817876e-05,2.67990147364984e-05,,,,,,True,False
Solyc05g005550,-0.6761997767857144,BURP domain-containing protein (Fragment)  IPR004873  BURP,-0.058680873650367484,True,,,,,,,,,False,False
Solyc11g006250,-0.6651088169642858,"GDSL esterase_lipase At5g33370  IPR001087  Lipase, GDSL",-0.2799516227531534,True,,,,,,,,,False,False
Solyc01g110000,-0.6554478236607143,"Beta-galactosidase  IPR001944  Glycoside hydrolase, family 35",-0.09763714459294355,True,,,,,,,,,False,False
Solyc02g063030,-0.6543433779761905,,,,,,,,,,,,,
Solyc07g053540,-0.6821172805059526,Fasciclin-like arabinogalactan protein 4  IPR000782  FAS1 domain,-0.9518809857650802,True,-0.9517856083976697,8.49367885752926e-12,8.14366965325999e-11,,,,,,True,False
Solyc01g095080,0.6965680803571429,,,,,,,,,,,,,
Solyc01g107730,-0.6377766927083334,,,,,,,,,,,,,
Solyc09g014350,-0.6325218563988095,Glycerol-3-phosphate acyltransferase 6  IPR002123  Phospholipid_glycerol acyltransferase,-2.0035343035533213,True,-1.999422325497126,2.18298481106259e-14,6.18951651443384e-13,,,,,,True,False
Solyc05g012020,0.6180710565476191,"MADS-box transcription factor MADS-MC  IPR002487  Transcription factor, K-box",1.5279077610008962,True,1.5290801523792745,1.63797782168309e-15,8.27178799949964e-14,3.0,1.2163804734448238,1.2163804734448238,1.15110019322502e-09,Solyc05g012020.2.1_S84;Solyc05g012020.2.1_T83,True,True
Solyc01g108490,-0.7807965959821428,"Serine carboxypeptidase 1  IPR001563  Peptidase S10, serine carboxypeptidase",-1.298670563998814,True,-1.298825471540988,4.70834557761518e-13,7.31604466675591e-12,,,,,,True,False
Solyc10g084600,0.6166178385416667,"Plant-specific domain TIGR01589 family protein  IPR006476  Conserved hypothetical protein CHP01589, plant",1.1960871131530975,True,1.1967558213466132,3.02709957584412e-11,2.36007552895636e-10,,,,,,True,False
Solyc01g080280,-0.6291736421130953,"Glutamine synthetase  IPR008146  Glutamine synthetase, catalytic region",-0.4634206153351707,True,,,,,,,,,False,False
Solyc05g014280,0.6077008928571428,Heat shock protein  IPR002068  Heat shock protein Hsp20,3.113819182491569,True,3.1134118211089494,2.7882936946713e-18,1.18011211229707e-15,,,,,,True,False
Solyc02g067750,0.6055152529761905,Carbonic anhydrase  IPR001765  Carbonic anhydrase,3.121831500476911,True,3.115982339368049,4.09568651551654e-15,1.72523515402421e-13,,,,,,True,False
Solyc01g099040,0.5985979352678573,"GDSL esterase_lipase At5g03980  IPR001087  Lipase, GDSL",2.8759959306876572,True,2.876882570727886,1.13588507330824e-17,2.65677540304307e-15,,,,,,True,False
Solyc04g074110,-0.6375674293154763,,,,,,,,,,,,,
Solyc03g120570,0.5961914062500001,,,,,,,,,,,,,
