go_id,signature_gene_count,matched_signature_gene_count,full_frozen_signature_gene_count,null_draw_gene_count,null_median_gene_count,null_upper_95_gene_count,empirical_p,bh_fdr
GO:0098772,6,432,464,432,1.0,3.0,0.000999000999000999,0.053946053946053944
GO:0016798,14,432,464,432,7.0,10.0,0.001998001998001998,0.053946053946053944
GO:0016788,10,432,464,432,5.0,7.0,0.002997002997002997,0.053946053946053944
GO:0004553,13,432,464,432,7.0,10.0,0.005994005994005994,0.08091908091908091
GO:0016020,14,432,464,432,8.0,12.0,0.012987012987012988,0.10018552875695733
GO:0008238,5,432,464,432,1.0,3.0,0.012987012987012988,0.10018552875695733
GO:0070008,5,432,464,432,1.0,3.0,0.012987012987012988,0.10018552875695733
GO:0016491,26,432,464,432,21.0,26.0,0.08891108891108891,0.5059767818388509
GO:0030170,5,432,464,432,3.0,5.0,0.09490509490509491,0.5059767818388509
GO:0070279,5,432,464,432,3.0,5.0,0.09490509490509491,0.5059767818388509
GO:0055085,12,432,464,432,8.0,13.0,0.11288711288711288,0.5059767818388509
GO:0022857,10,432,464,432,7.0,11.0,0.12787212787212787,0.5059767818388509
GO:0055114,24,432,464,432,20.0,25.0,0.13486513486513488,0.5059767818388509
GO:0005215,10,432,464,432,7.0,11.0,0.13486513486513488,0.5059767818388509
GO:0046914,14,432,464,432,11.0,15.0,0.15084915084915085,0.5059767818388509
GO:0005975,13,432,464,432,10.0,14.0,0.2077922077922078,0.5059767818388509
GO:0005506,13,432,464,432,11.0,15.0,0.22977022977022976,0.5059767818388509
GO:0003674,96,432,464,432,91.0,102.0,0.23076923076923078,0.5059767818388509
GO:0016705,13,432,464,432,11.0,15.0,0.23476523476523475,0.5059767818388509
GO:0009987,52,432,464,432,48.0,56.0,0.23576423576423577,0.5059767818388509
GO:0043169,16,432,464,432,14.0,18.0,0.24475524475524477,0.5059767818388509
GO:0046872,16,432,464,432,14.0,18.0,0.24475524475524477,0.5059767818388509
GO:0110165,16,432,464,432,13.0,18.0,0.24575424575424576,0.5059767818388509
GO:0005575,16,432,464,432,13.0,18.0,0.25274725274725274,0.5059767818388509
GO:0016787,29,432,464,432,26.0,32.0,0.2597402597402597,0.5059767818388509
GO:0006810,12,432,464,432,10.0,14.0,0.2677322677322677,0.5059767818388509
GO:0051179,12,432,464,432,10.0,14.0,0.2677322677322677,0.5059767818388509
GO:0051234,12,432,464,432,10.0,14.0,0.2677322677322677,0.5059767818388509
GO:0003824,76,432,464,432,72.0,82.0,0.27172827172827174,0.5059767818388509
GO:0019842,5,432,464,432,4.0,6.0,0.2827172827172827,0.5088911088911089
GO:0020037,15,432,464,432,13.0,18.0,0.32667332667332666,0.5512612387612388
GO:0046906,15,432,464,432,13.0,18.0,0.32667332667332666,0.5512612387612388
GO:0008150,59,432,464,432,57.0,66.0,0.36063936063936064,0.590137135591681
GO:0006629,5,432,464,432,4.0,7.0,0.47652347652347654,0.7568314038902274
GO:0050896,6,432,464,432,7.0,10.0,0.7022977022977023,1.0
GO:0016021,5,432,464,432,6.0,9.0,0.7092907092907093,1.0
GO:0043226,5,432,464,432,6.0,9.0,0.7382617382617382,1.0
GO:0043229,5,432,464,432,6.0,9.0,0.7382617382617382,1.0
GO:0008152,35,432,464,432,37.0,45.0,0.7452547452547452,1.0
GO:0044281,5,432,464,432,6.0,8.0,0.7592407592407593,1.0
GO:0036094,24,432,464,432,27.0,32.049999999999955,0.7702297702297702,1.0
GO:0043167,23,432,464,432,26.0,32.0,0.8111888111888111,1.0
GO:0005622,5,432,464,432,7.0,10.0,0.8421578421578422,1.0
GO:0005488,27,432,464,432,33.0,41.0,0.951048951048951,1.0
GO:0044238,26,432,464,432,32.0,39.0,0.9590409590409591,1.0
GO:0008236,5,432,464,432,8.0,11.0,0.978021978021978,1.0
GO:0017171,5,432,464,432,8.0,11.0,0.978021978021978,1.0
GO:0043168,7,432,464,432,12.0,17.0,0.9820179820179821,1.0
GO:1901363,7,432,464,432,13.0,17.0,0.987012987012987,1.0
GO:0016740,11,432,464,432,17.0,23.0,0.989010989010989,1.0
GO:0008233,5,432,464,432,9.0,12.0,0.991008991008991,1.0
GO:0043170,7,432,464,432,17.0,22.0,0.999000999000999,1.0
GO:0140096,8,432,464,432,15.0,21.0,1.0,1.0
GO:0019538,6,432,464,432,16.0,21.0,1.0,1.0
