gene_id,display_name,frozen_grade,context,role,n_early,n_late,effect_scale,measured,effect,reference_effect,same_direction,bootstrap_same_direction_frequency,effect_bootstrap_p025,effect_bootstrap_p975
Solyc08g005770,AAT,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,3.3671073328306154,0.8120465959821429,True,1.0,2.9330348805486826,3.913291242121672
Solyc01g006540,loxC,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,4.841703659024453,0.47509765625,True,1.0,4.270496122018467,5.525172668200189
Solyc06g051800,EXP1,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,3.0751962921685587,0.5537225632440477,True,1.0,2.7161360084638018,3.4880936597836456
Solyc10g006880,NOR,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,1.261881103114943,0.418398902529762,True,1.0,0.9385649347123417,1.678258972309131
Solyc02g088270,Solyc02g088270,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,3.1420014542034775,0.543829055059524,True,1.0,2.7846198240261115,3.3621274338485385
Solyc03g116510,Solyc03g116510,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,1.3842013908794848,0.45127650669642855,True,1.0,0.6805568619759162,1.9468940587675694
Solyc10g083400,Solyc10g083400,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,3.8292770217515835,0.5841820126488095,True,1.0,3.161192751563485,4.521824270150164
Solyc08g014130,IPMS2,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,1.1127006985300758,0.478701636904762,True,1.0,0.7563772200691821,1.4487207397857294
Solyc01g108490,Solyc01g108490,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,-5.26453947622009,-0.7807965959821428,True,1.0,-5.631145239673543,-4.837153272212702
Solyc10g084600,Solyc10g084600,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,3.47519746249349,0.6166178385416667,True,1.0,3.0822897248696677,3.839407464563532
Solyc02g070890,Solyc02g070890,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,3.238227411954153,0.5818684895833335,True,1.0,3.0554448498470372,3.421009974061269
Solyc09g092430,Solyc09g092430,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,-3.5115496109111044,-0.418701171875,True,1.0,-3.838030932244726,-3.18506828957748
Solyc08g080630,ER1,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,2.324372233182018,0.47013346354166663,True,1.0,1.5586429051842465,3.009287202479967
Solyc01g104850,Solyc01g104850,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,-2.829183832950114,-0.5013718377976191,True,1.0,-3.2086913064513425,-2.4020241655632217
Solyc07g063600,Solyc07g063600,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,-2.5943773328114137,-0.4616582961309524,True,1.0,-3.1317271790780308,-2.0936933036965697
Solyc03g118060,Solyc03g118060,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,2.724266878690722,0.4217471168154762,True,1.0,2.1516199184483082,3.234514446855037
Solyc10g079050,Solyc10g079050,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,2.404651226399554,0.5567452566964286,True,1.0,2.105680660589973,2.6884785892090988
Solyc07g042390,Solyc07g042390,A,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,-1.8841236746458279,-0.5619187127976191,True,1.0,-1.992176351015452,-1.717665977663812
Solyc01g095080,ACS2,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,5.506721048269272,0.6965680803571429,True,1.0,3.4690678745076307,6.9224925073852654
Solyc08g005610,CYP707A2,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,2.0811869260141345,0.4896647135416666,True,1.0,1.5976126824258063,2.595997207390211
Solyc12g017530,Solyc12g017530,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,1.6975784565383911,0.4520786830357142,True,1.0,1.3467797593706279,1.9436468550141606
Solyc07g054750,Solyc07g054750,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,0.1452338882793432,0.6946265811011906,True,1.0,0.09411825708972747,0.19549840416410427
Solyc02g083380,Solyc02g083380,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,1.788834904819736,0.4128882998511906,True,1.0,1.562913378523536,2.014756431115936
Solyc06g068900,Solyc06g068900,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,1.1243735219766906,0.5066615513392856,True,1.0,0.823412270573663,1.4071618230296563
Solyc03g114360,Solyc03g114360,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,1.1581547808051633,0.4378255208333335,True,1.0,0.895164919653164,1.4944017296991445
Solyc08g078870,Solyc08g078870,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,0.2541835736747142,0.4613676525297618,True,0.6707818930041153,-0.9942368023197075,1.2794825209399106
Solyc06g072650,Solyc06g072650,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,0.5712677283775006,0.5408296130952381,True,1.0,0.3353235800899164,1.0238033937361979
Solyc12g096570,ARGOS,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,1.8226706589688937,0.5442475818452381,True,1.0,1.3684641046308577,2.276877213306929
Solyc03g082560,Solyc03g082560,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,-1.9670136452543523,-0.41287667410714274,True,1.0,-2.5013553442903773,-1.5059206021879623
Solyc01g066740,Solyc01g066740,B,GSE267238,external_used_in_frozen_grade,3,3,log2cpm,True,-2.7956482645115805,-0.42368861607142866,True,1.0,-3.3568846476246845,-2.2344118813984757
