method,gene_id
frozen_signature,Solyc00g060810
frozen_signature,Solyc00g156980
frozen_signature,Solyc01g006540
frozen_signature,Solyc01g008680
frozen_signature,Solyc01g058270
frozen_signature,Solyc01g066740
frozen_signature,Solyc01g068490
frozen_signature,Solyc01g074030
frozen_signature,Solyc01g079240
frozen_signature,Solyc01g080280
frozen_signature,Solyc01g080410
frozen_signature,Solyc01g080680
frozen_signature,Solyc01g081290
frozen_signature,Solyc01g086920
frozen_signature,Solyc01g088400
frozen_signature,Solyc01g090730
frozen_signature,Solyc01g094700
frozen_signature,Solyc01g095080
frozen_signature,Solyc01g095640
frozen_signature,Solyc01g096740
frozen_signature,Solyc01g097290
frozen_signature,Solyc01g097770
frozen_signature,Solyc01g099040
frozen_signature,Solyc01g099630
frozen_signature,Solyc01g099660
frozen_signature,Solyc01g100930
frozen_signature,Solyc01g104850
frozen_signature,Solyc01g104900
frozen_signature,Solyc01g105050
frozen_signature,Solyc01g107730
frozen_signature,Solyc01g107890
frozen_signature,Solyc01g108400
frozen_signature,Solyc01g108490
frozen_signature,Solyc01g108730
frozen_signature,Solyc01g108860
frozen_signature,Solyc01g108880
frozen_signature,Solyc01g109180
frozen_signature,Solyc01g109500
frozen_signature,Solyc01g109790
frozen_signature,Solyc01g109920
frozen_signature,Solyc01g110000
frozen_signature,Solyc02g005110
frozen_signature,Solyc02g014430
frozen_signature,Solyc02g021680
frozen_signature,Solyc02g023950
frozen_signature,Solyc02g038740
frozen_signature,Solyc02g055440
frozen_signature,Solyc02g062390
frozen_signature,Solyc02g063030
frozen_signature,Solyc02g063150
frozen_signature,Solyc02g064830
frozen_signature,Solyc02g065260
frozen_signature,Solyc02g065280
frozen_signature,Solyc02g065350
frozen_signature,Solyc02g065530
frozen_signature,Solyc02g065780
frozen_signature,Solyc02g067320
frozen_signature,Solyc02g067750
frozen_signature,Solyc02g069670
frozen_signature,Solyc02g070020
frozen_signature,Solyc02g070790
frozen_signature,Solyc02g070800
frozen_signature,Solyc02g070890
frozen_signature,Solyc02g070940
frozen_signature,Solyc02g071000
frozen_signature,Solyc02g072440
frozen_signature,Solyc02g077330
frozen_signature,Solyc02g077790
frozen_signature,Solyc02g078040
frozen_signature,Solyc02g078340
frozen_signature,Solyc02g078570
frozen_signature,Solyc02g078620
frozen_signature,Solyc02g078950
frozen_signature,Solyc02g079490
frozen_signature,Solyc02g080160
frozen_signature,Solyc02g081600
frozen_signature,Solyc02g083380
frozen_signature,Solyc02g083450
frozen_signature,Solyc02g083670
frozen_signature,Solyc02g083680
frozen_signature,Solyc02g083700
frozen_signature,Solyc02g083840
frozen_signature,Solyc02g084600
frozen_signature,Solyc02g085380
frozen_signature,Solyc02g085910
frozen_signature,Solyc02g085950
frozen_signature,Solyc02g087470
frozen_signature,Solyc02g087840
frozen_signature,Solyc02g087870
frozen_signature,Solyc02g088100
frozen_signature,Solyc02g088270
