gene_id,display_name,frozen_grade,biological_anchor,annotation_theme,query_entry,external_measured_count,external_same_direction_count,concordant_differential_protein_record,retained_for_worked_query,disposition,GSE78733_effect,boundary_No19_measured,boundary_No19_same_direction,boundary_No20_measured,boundary_No20_same_direction,development_reuse_same_direction,tissue_measured_n,tissue_same_direction_n,query_status
Solyc08g005770,AAT,A,True,Flavour and specialised metabolism,True,4,4,True,True,retained_for_expression_and_protein_remeasurement; not an efficacy ranking,0.0014950770653209,False,,False,,False,11,11,post_review_illustration; not preregistered or a validated selection rule
Solyc01g006540,loxC,A,True,Flavour and specialised metabolism,True,4,3,True,False,stage_context_follow_up; point-sign discrepancy is not significant reversal,-0.0067524368772561,True,False,True,True,True,11,10,post_review_illustration; not preregistered or a validated selection rule
Solyc06g051800,EXP1,A,True,Cell wall and proteolysis,False,4,4,True,False,outside_frozen_annotation_theme; not a biological rejection,0.0027368762725369,True,False,True,False,True,11,10,post_review_illustration; not preregistered or a validated selection rule
Solyc10g006880,NOR,A,True,Ethylene and ripening transcription,False,4,3,False,False,outside_frozen_annotation_theme; not a biological rejection,-0.0008065547326072,True,False,True,False,False,11,10,post_review_illustration; not preregistered or a validated selection rule
Solyc02g088270,Solyc02g088270,A,False,Limited functional annotation,False,4,4,True,False,outside_frozen_annotation_theme; not a biological rejection,0.0049598198038696,True,False,True,False,False,11,11,post_review_illustration; not preregistered or a validated selection rule
Solyc03g116510,Solyc03g116510,A,False,Limited functional annotation,False,4,4,False,False,outside_frozen_annotation_theme; not a biological rejection,0.1687297746564766,True,True,True,False,True,11,9,post_review_illustration; not preregistered or a validated selection rule
Solyc10g083400,Solyc10g083400,A,False,Flavour and specialised metabolism,True,4,4,True,True,retained_for_expression_and_protein_remeasurement; not an efficacy ranking,0.1508183579725968,True,True,True,True,True,11,11,post_review_illustration; not preregistered or a validated selection rule
Solyc08g014130,IPMS2,A,False,Flavour and specialised metabolism,True,4,4,True,True,retained_for_expression_and_protein_remeasurement; not an efficacy ranking,0.0093171825666145,True,True,True,False,True,11,11,post_review_illustration; not preregistered or a validated selection rule
Solyc01g108490,Solyc01g108490,A,False,Cell wall and proteolysis,False,4,4,True,False,outside_frozen_annotation_theme; not a biological rejection,-0.1519716328798922,False,,False,,True,11,10,post_review_illustration; not preregistered or a validated selection rule
Solyc10g084600,Solyc10g084600,A,False,Plastid light adaptation,False,4,4,True,False,outside_frozen_annotation_theme; not a biological rejection,0.2199656722436975,True,False,True,False,True,9,9,post_review_illustration; not preregistered or a validated selection rule
Solyc02g070890,Solyc02g070890,A,False,Hormone and growth signalling,False,4,4,True,False,outside_frozen_annotation_theme; not a biological rejection,0.0813612086517748,False,,False,,True,10,10,post_review_illustration; not preregistered or a validated selection rule
Solyc09g092430,Solyc09g092430,A,False,Defence and stress response,False,4,4,True,False,outside_frozen_annotation_theme; not a biological rejection,-0.0832743171333864,True,True,True,True,True,11,11,post_review_illustration; not preregistered or a validated selection rule
Solyc08g080630,ER1,A,False,Ethylene and ripening transcription,False,4,4,True,False,outside_frozen_annotation_theme; not a biological rejection,0.3531947436237913,True,True,True,False,True,10,10,post_review_illustration; not preregistered or a validated selection rule
Solyc01g104850,Solyc01g104850,A,False,Cell wall and proteolysis,False,4,4,True,False,outside_frozen_annotation_theme; not a biological rejection,-0.3720184523985166,True,False,True,True,True,10,9,post_review_illustration; not preregistered or a validated selection rule
Solyc07g063600,Solyc07g063600,A,False,Photosynthetic and organellar metabolism,False,4,3,True,False,outside_frozen_annotation_theme; not a biological rejection,0.0053876872534844,True,True,True,True,True,11,11,post_review_illustration; not preregistered or a validated selection rule
Solyc03g118060,Solyc03g118060,A,False,Photosynthetic and organellar metabolism,False,4,4,True,False,outside_frozen_annotation_theme; not a biological rejection,0.1367528303185889,True,False,True,False,True,10,10,post_review_illustration; not preregistered or a validated selection rule
Solyc10g079050,Solyc10g079050,A,False,Hormone and growth signalling,False,4,4,False,False,outside_frozen_annotation_theme; not a biological rejection,0.3082022681892846,True,True,True,False,True,11,11,post_review_illustration; not preregistered or a validated selection rule
