context,role,endpoint,sample_id,scale,unit
GSE267238,external_used_in_frozen_grade,early,A_35_1,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE267238,external_used_in_frozen_grade,early,A_35_2,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE267238,external_used_in_frozen_grade,early,A_35_3,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE267238,external_used_in_frozen_grade,late,A_38_1,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE267238,external_used_in_frozen_grade,late,A_38_2,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE267238,external_used_in_frozen_grade,late,A_38_3,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE128739,external_used_in_frozen_grade,early,F41_1090,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE128739,external_used_in_frozen_grade,early,F41_494,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE128739,external_used_in_frozen_grade,early,F41_542,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE128739,external_used_in_frozen_grade,late,F53_1020,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE128739,external_used_in_frozen_grade,late,F53_1066,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE128739,external_used_in_frozen_grade,late,F53_1162,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE235023,external_not_used_in_grade,early,ACLP1,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE235023,external_not_used_in_grade,early,ACLP2,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE235023,external_not_used_in_grade,late,ACHP1,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE235023,external_not_used_in_grade,late,ACHP2,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE78733,external_not_used_in_grade,early,GSM2074861,rank01,biological sample; technical lanes already collapsed where applicable
GSE78733,external_not_used_in_grade,early,GSM2074862,rank01,biological sample; technical lanes already collapsed where applicable
GSE78733,external_not_used_in_grade,late,GSM2074863,rank01,biological sample; technical lanes already collapsed where applicable
GSE78733,external_not_used_in_grade,late,GSM2074864,rank01,biological sample; technical lanes already collapsed where applicable
GSE78733,external_not_used_in_grade,late,GSM2074865,rank01,biological sample; technical lanes already collapsed where applicable
GSE285925_No19,boundary_not_used_in_grade,early,count.Br19_1,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No19,boundary_not_used_in_grade,early,count.Br19_2,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No19,boundary_not_used_in_grade,early,count.Br19_3,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No19,boundary_not_used_in_grade,late,count.MF19_1,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No19,boundary_not_used_in_grade,late,count.MF19_2,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No19,boundary_not_used_in_grade,late,count.MF19_3,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No20,boundary_not_used_in_grade,early,count.Br20_1,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No20,boundary_not_used_in_grade,early,count.Br20_2,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No20,boundary_not_used_in_grade,early,count.Br20_3,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No20,boundary_not_used_in_grade,late,count.MF20_1,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No20,boundary_not_used_in_grade,late,count.MF20_2,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE285925_No20,boundary_not_used_in_grade,late,count.MF20_3,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE183836_healthy,development_reuse_sensitivity,early,BB1,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE183836_healthy,development_reuse_sensitivity,early,BB2,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE183836_healthy,development_reuse_sensitivity,early,BB3,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE183836_healthy,development_reuse_sensitivity,late,BB10,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE183836_healthy,development_reuse_sensitivity,late,BB11,log2cpm,biological sample; technical lanes already collapsed where applicable
GSE183836_healthy,development_reuse_sensitivity,late,BB12,log2cpm,biological sample; technical lanes already collapsed where applicable
