context,role,method,n_early,n_late,measured_genes,direction,rho,bootstrap_ordered_resamples,direction_bootstrap_p025,direction_bootstrap_p975,rho_bootstrap_p025,rho_bootstrap_p975,leave_one_each_endpoint_min,leave_one_each_endpoint_max,signature_minus_method_direction_bootstrap_p025,signature_minus_method_direction_bootstrap_p975
GSE267238,external_used_in_frozen_grade,frozen_signature,3,3,433,0.9191685912240185,0.6998868131021744,729,0.8868360277136259,0.9237875288683602,0.6764599161004602,0.7134850241751757,0.8914549653579676,0.9260969976905312,0.0,0.0
GSE267238,external_used_in_frozen_grade,source_top500,3,3,467,0.8972162740899358,0.7083339678821012,729,0.8650963597430407,0.9014989293361885,0.6750368739990062,0.7292267018445868,0.867237687366167,0.9036402569593148,0.017333379489740897,0.03215453165258075
GSE267238,external_used_in_frozen_grade,source_top464,3,3,435,0.9011494252873563,0.7061376343309187,729,0.8689655172413793,0.9080459770114943,0.6723349693918094,0.725833617620065,0.8735632183908046,0.9080459770114943,0.011037668232858122,0.027182713493137944
GSE267238,external_used_in_frozen_grade,rank501_1000,3,3,453,0.8807947019867549,0.6703631839219771,729,0.8565121412803532,0.8940397350993378,0.6349490029311256,0.6901602318327578,0.869757174392936,0.891832229580574,0.012663842283162308,0.044201092026979555
GSE267238,external_used_in_frozen_grade,rank501_1000_confirmed,3,3,395,0.9341772151898734,0.672526573642468,729,0.9139240506329114,0.9443037974683545,0.6540714642056994,0.6806911633914056,0.9240506329113924,0.9468354430379747,-0.044809541906627226,-0.00696933376209552
GSE128739,external_used_in_frozen_grade,frozen_signature,3,3,464,0.9633620689655172,0.7606808928520663,729,0.9224137931034483,0.9762931034482759,0.7253087296609654,0.7759093812828355,0.9331896551724138,0.9741379310344828,0.0,0.0
GSE128739,external_used_in_frozen_grade,source_top500,3,3,500,0.952,0.781681671339565,729,0.91,0.968,0.7414676016785098,0.7978214795587073,0.92,0.97,0.001703448275862085,0.020275862068965478
GSE128739,external_used_in_frozen_grade,source_top464,3,3,464,0.9547413793103449,0.7757531020508358,729,0.915948275862069,0.9698275862068966,0.7369156845702752,0.7921316722052613,0.9267241379310345,0.9719827586206896,0.0,0.017241379310344862
GSE128739,external_used_in_frozen_grade,rank501_1000,3,3,500,0.928,0.749728659472591,729,0.874,0.948,0.6934248473101247,0.7653155523611408,0.884,0.942,0.017362068965517286,0.06627586206896552
GSE128739,external_used_in_frozen_grade,rank501_1000_confirmed,3,3,434,0.9654377880184332,0.7314484132487069,729,0.9170506912442397,0.9746543778801844,0.688513390324947,0.7432274175172935,0.9285714285714286,0.9700460829493087,-0.013149531225170819,0.02616995073891626
GSE235023,external_not_used_in_grade,frozen_signature,2,2,448,0.921875,0.7218957235438079,16,0.8989955357142857,0.9263392857142857,0.7071074279734848,0.730133893926873,0.8973214285714286,0.9241071428571429,0.0,0.0
GSE235023,external_not_used_in_grade,source_top500,2,2,482,0.9045643153526971,0.7338086089318175,16,0.8729253112033195,0.9128630705394191,0.7086228369272717,0.7480844640806703,0.8713692946058091,0.9128630705394191,0.012081125889152389,0.02614895154119741
GSE235023,external_not_used_in_grade,source_top464,2,2,448,0.9084821428571429,0.7265421748090227,16,0.87890625,0.9165736607142857,0.7023845011179918,0.7398263099454754,0.8772321428571429,0.9174107142857143,0.00837053571428574,0.0200892857142857
GSE235023,external_not_used_in_grade,rank501_1000,2,2,469,0.8805970149253731,0.6589554481105561,16,0.8571428571428571,0.8848614072494669,0.6273427385983498,0.6788394613398744,0.8571428571428571,0.8742004264392325,0.03448160980810233,0.04793276918976548
GSE235023,external_not_used_in_grade,rank501_1000_confirmed,2,2,409,0.9242053789731052,0.658211625270565,16,0.8991442542787286,0.9290953545232273,0.6460369111255234,0.665182216738061,0.8973105134474327,0.9193154034229829,-0.00881396262661538,0.004805383339154784
GSE78733,external_not_used_in_grade,frozen_signature,2,3,455,0.8571428571428571,0.6006179885498225,108,0.8153846153846154,0.8593406593406593,0.5560716005533998,0.6008743053839275,0.8241758241758241,0.8549450549450549,0.0,0.0
GSE78733,external_not_used_in_grade,source_top500,2,3,490,0.8530612244897959,0.6308723671893507,108,0.8183673469387756,0.8612244897959184,0.5885597191158647,0.6308723671893507,0.8244897959183674,0.8571428571428571,-0.003084772370486688,0.004081632653061162
GSE78733,external_not_used_in_grade,source_top464,2,3,455,0.8593406593406593,0.6300354410254712,108,0.8219780219780219,0.8703296703296703,0.5896656670479995,0.6309166256882464,0.8307692307692308,0.865934065934066,-0.013186813186813251,-0.00219780219780219
GSE78733,external_not_used_in_grade,rank501_1000,2,3,491,0.8370672097759674,0.6315767410889869,108,0.8065173116089613,0.8437881873727088,0.5944532095578973,0.6315767410889869,0.8167006109979633,0.8472505091649695,-0.0040494841207672164,0.03449340883149432
GSE78733,external_not_used_in_grade,rank501_1000_confirmed,2,3,426,0.8474178403755869,0.5940095418419535,108,0.8145539906103286,0.8559272300469484,0.5572956274027123,0.5940095418419535,0.8215962441314554,0.8615023474178404,-0.016840401382654892,0.030702161688077156
GSE285925_No19,boundary_not_used_in_grade,frozen_signature,3,3,385,0.5402597402597402,0.056227109723024075,729,0.509090909090909,0.5584415584415584,0.05129828117892197,0.0698809170107926,0.5142857142857142,0.5532467532467532,0.0,0.0
GSE285925_No19,boundary_not_used_in_grade,source_top500,3,3,412,0.5412621359223301,0.05951237865466002,729,0.5048543689320388,0.5606796116504854,0.05100199511990474,0.07439868118959371,0.5169902912621359,0.5533980582524272,-0.0035997982599924594,0.011688311688311637
GSE285925_No19,boundary_not_used_in_grade,source_top464,3,3,386,0.533678756476684,0.06288646974457579,729,0.49222797927461137,0.5518134715025906,0.054763000325514795,0.07809522032206405,0.5077720207253886,0.5466321243523317,0.003970123141107562,0.02210483816701425
GSE285925_No19,boundary_not_used_in_grade,rank501_1000,3,3,409,0.5623471882640587,0.13481694723247212,729,0.5158924205378973,0.5623471882640587,0.09797655901993714,0.15773089116184663,0.5281173594132029,0.5574572127139364,-0.03901311402533896,0.024519734544184435
GSE285925_No19,boundary_not_used_in_grade,rank501_1000_confirmed,3,3,359,0.5682451253481894,0.10758146437201514,729,0.532033426183844,0.5766016713091922,0.07502576751627009,0.13231307585108582,0.5431754874651811,0.5766016713091922,-0.05418514632999318,0.012480555656043113
GSE285925_No20,boundary_not_used_in_grade,frozen_signature,3,3,385,0.5792207792207792,0.08927263350882303,729,0.5428571428571428,0.5896103896103896,0.07371137720965242,0.1253922754638451,0.5584415584415584,0.587012987012987,0.0,0.0
GSE285925_No20,boundary_not_used_in_grade,source_top500,3,3,412,0.5631067961165048,0.08042315550098533,729,0.529126213592233,0.5747572815533979,0.06335482251328947,0.12196559768695496,0.5388349514563107,0.5655339805825242,0.011814399193039948,0.020968352036313198
GSE285925_No20,boundary_not_used_in_grade,source_top464,3,3,386,0.5544041450777202,0.08605080785018103,729,0.5233160621761658,0.5694300518134714,0.06701590856322225,0.129639945406377,0.533678756476684,0.5595854922279793,0.017010968306305108,0.029957607159679656
GSE285925_No20,boundary_not_used_in_grade,rank501_1000,3,3,409,0.6112469437652812,0.1661130649024349,729,0.58679706601467,0.6308068459657702,0.1552140943807733,0.17516961685002996,0.5941320293398533,0.6234718826405868,-0.06548756866605276,-0.018270726828184092
GSE285925_No20,boundary_not_used_in_grade,rank501_1000_confirmed,3,3,359,0.6518105849582173,0.1834278589320106,729,0.6239554317548747,0.6713091922005571,0.1724273312716595,0.1916798764018591,0.6350974930362117,0.6629526462395543,-0.10338241146040594,-0.055876713815432466
GSE183836_healthy,development_reuse_sensitivity,frozen_signature,3,3,448,0.8638392857142857,0.5808648678904587,729,0.7633928571428571,0.8816964285714286,0.4510993813077013,0.6332440219957752,0.796875,0.8727678571428571,0.0,0.0
GSE183836_healthy,development_reuse_sensitivity,source_top500,3,3,482,0.8672199170124482,0.613109368818337,729,0.7717842323651453,0.8817427385892116,0.4947176636312405,0.6621373034986271,0.8049792531120332,0.8734439834024896,-0.010466064018968657,0.0010836544161232364
GSE183836_healthy,development_reuse_sensitivity,source_top464,3,3,448,0.8660714285714286,0.6194344980321475,729,0.7700892857142857,0.8816964285714286,0.4997823679739421,0.6660426126001906,0.7991071428571429,0.8727678571428571,-0.006696428571428603,0.004464285714285698
GSE183836_healthy,development_reuse_sensitivity,rank501_1000,3,3,469,0.8422174840085288,0.6058900006709994,729,0.7889125799573561,0.8656716417910447,0.5377072816013245,0.6311428463419152,0.8017057569296375,0.8635394456289979,-0.03141657782515994,0.030950159914712172
GSE183836_healthy,development_reuse_sensitivity,rank501_1000_confirmed,3,3,409,0.8508557457212714,0.5480337217717741,729,0.7921760391198044,0.8875305623471883,0.4732314835642444,0.585603022004152,0.7995110024449877,0.8777506112469438,-0.03718236989172197,0.020744193154034196
