gene_id,gene_name,gene_biotype,gene_description,tf_family,ensembl_gene_stable_id,ensembl_gene_name,refseq_mrna_id,annotation_source,annotation_release,mapping_status
Solyc00g060810,,,,,,,,Ensembl Plants BioMart,63,not_mapped_in_export
Solyc10g007600,Solyc10g007600.3,protein_coding,glycolate oxidase && sp|Q9LRR9|GLO1_ARATH (S)-2-hydroxy-acid oxidase GLO1 OS=Arabidopsis thaliana OX=3702 GN=GLO1 PE=1 SV=1 && PF01070:FMN-dependent dehydrogenase,FMN_dh,gene-Solyc10g007600.3,GLO2,NM_001347977,Ensembl Plants BioMart,63,one_to_one
Solyc03g121180,Solyc03g121180.4,protein_coding,GDSL esterase/lipase (AHRD V3.3 *** A0A2G3D0P9_CAPCH) && sp|Q9LU14|APG2_ARATH GDSL esterase/lipase APG OS=Arabidopsis thaliana OX=3702 GN=APG PE=2 SV=1 && PF00657:GDSL-like Lipase/Acylhydrolase,Lipase_GDSL,gene-Solyc03g121180.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc11g010960,Solyc11g010960.2,protein_coding,Alcohol dehydrogenase (AHRD V3.3 *** A0A1Y1I027_KLENI) && sp|Q6V4H0|10HGO_CATRO 8-hydroxygeraniol dehydrogenase OS=Catharanthus roseus OX=4058 GN=10HGO PE=1 SV=1 && PF00107:Zinc-binding dehydrogenase|PF08240:Alcohol dehydrogenase GroES-like domain,ADH_N,gene-Solyc11g010960.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g054900,Solyc10g054900.2,protein_coding,Proline-rich protein (AHRD V3.3 *** Q9M6T7_NICGL) && - && PF01190:Pollen proteins Ole e I like,-,gene-Solyc10g054900.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc09g083190,Solyc09g083190.3,protein_coding,"NAD(P)H dehydrogenase 18 (AHRD V3.3 *** A0A0F7CYQ9_9ROSI) && sp|Q9FG89|PNSB5_ARATH Photosynthetic NDH subunit of subcomplex B 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PNSB5 PE=2 SV=1 && -",-,gene-Solyc09g083190.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g007780,Solyc03g007780.1,protein_coding,Ovule Secreted Protein && - && -,-,gene-Solyc03g007780.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc06g071290,Solyc06g071290.3,protein_coding,"Aldehyde dehydrogenase (AHRD V3.3 *** A0A0K9R405_SPIOL) && sp|O04895|BADH_AMAHP Betaine aldehyde dehydrogenase, chloroplastic OS=Amaranthus hypochondriacus OX=28502 GN=BADH4 PE=3 SV=1 && PF00171:Aldehyde dehydrogenase family",Aldedh,gene-Solyc06g071290.3,ADH10A9,NM_001346677,Ensembl Plants BioMart,63,one_to_one
Solyc08g005770,Solyc08g005770.3,protein_coding,alcohol acyl transferase && sp|Q3ZPN4|ACMAT_VITLA Methanol O-anthraniloyltransferase OS=Vitis labrusca OX=103355 GN=AMAT PE=1 SV=1 && PF02458:Transferase family,-,gene-Solyc08g005770.3,AAT,NM_001247567,Ensembl Plants BioMart,63,one_to_one
Solyc02g065260,Solyc02g065260.4,protein_coding,Methylesterase 1 (AHRD V3.3 *** A0A2G3D300_CAPCH) && sp|Q6RYA0|SABP2_TOBAC Salicylic acid-binding protein 2 OS=Nicotiana tabacum OX=4097 GN=SABP2 PE=1 SV=1 && PF00561:alpha/beta hydrolase fold,Abhydrolase_1,gene-Solyc02g065260.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc12g088220,Solyc12g088220.2,protein_coding,"SlBCAT1 && sp|Q9M439|BCAT2_ARATH Branched-chain-amino-acid aminotransferase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BCAT2 PE=1 SV=1 && PF01063:Amino-transferase class IV",-,gene-Solyc12g088220.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g089080,Solyc02g089080.2,protein_coding,Protein RALF-like 27 (AHRD V3.3 --* A0A2G3D352_CAPCH) && - && -,-,gene-Solyc02g089080.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g005550,Solyc05g005550.4,protein_coding,BURP domain (AHRD V3.3 *-* A0A200QH65_9MAGN) && sp|P93217|GP2_SOLLC Polygalacturonase non-catalytic subunit AroGP2 OS=Solanum lycopersicum OX=4081 GN=GP2 PE=3 SV=1 && PF03181:BURP domain,-,gene-Solyc05g005550.4,AROGP2,NM_001310316,Ensembl Plants BioMart,63,one_to_one
Solyc11g006250,Solyc11g006250.2,protein_coding,GDSL-motif lipase/hydrolase family protein 2 && sp|Q8LB81|GDL79_ARATH GDSL esterase/lipase At5g33370 OS=Arabidopsis thaliana OX=3702 GN=At5g33370 PE=2 SV=1 && PF00657:GDSL-like Lipase/Acylhydrolase,Lipase_GDSL,gene-Solyc11g006250.2,CD1,NM_001320369,Ensembl Plants BioMart,63,one_to_one
Solyc01g110000,Solyc01g110000.3,protein_coding,Beta-galactosidase (AHRD V3.3 *** A0A2G3BW46_CAPCH) && sp|Q9SCV9|BGAL3_ARATH Beta-galactosidase 3 OS=Arabidopsis thaliana OX=3702 GN=BGAL3 PE=2 SV=1 && PF01301:Glycosyl hydrolases family 35|PF17834:Beta-sandwich domain in beta galactosidase,-,gene-Solyc01g110000.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc02g063030,Solyc02g063030.4,protein_coding,Mental retardation GTPase activating protein (AHRD V3.3 *** A0A1I9LSH4_ARATH) && - && -,-,gene-Solyc02g063030.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc07g053540,Solyc07g053540.1,protein_coding,Fasciclin-like arabinogalactan protein 9 (AHRD V3.3 *** A0A1U8HBV4_CAPAN) && sp|Q9ZWA8|FLA9_ARATH Fasciclin-like arabinogalactan protein 9 OS=Arabidopsis thaliana OX=3702 GN=FLA9 PE=2 SV=1 && PF02469:Fasciclin domain,-,gene-Solyc07g053540.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g095080,Solyc01g095080.3,protein_coding,1-aminocyclopropane-1-carboxylic acid synthase-2 && sp|P18485|1A12_SOLLC 1-aminocyclopropane-1-carboxylate synthase 2 OS=Solanum lycopersicum OX=4081 GN=ACS2 PE=1 SV=2 && PF00155:Aminotransferase class I and II,Aminotran_1_2,gene-Solyc01g095080.3,ACS2,NM_001247249,Ensembl Plants BioMart,63,one_to_one
Solyc01g107730,Solyc01g107730.3,protein_coding,"D-type cyclin-2 && sp|Q9SN11|CCD33_ARATH Cyclin-D3-3 OS=Arabidopsis thaliana OX=3702 GN=CYCD3-3 PE=2 SV=1 && PF00134:Cyclin, N-terminal domain|PF02984:Cyclin, C-terminal domain",Cyclin_C,gene-Solyc01g107730.3,cycd3c2,,Ensembl Plants BioMart,63,one_to_one
Solyc09g014350,Solyc09g014350.3,protein_coding,Glycerol-3-phosphate acyltransferase && sp|O80437|GPAT6_ARATH Glycerol-3-phosphate 2-O-acyltransferase 6 OS=Arabidopsis thaliana OX=3702 GN=GPAT6 PE=1 SV=1 && PF12710:haloacid dehalogenase-like hydrolase|PF01553:Acyltransferase,Acyltransferase,gene-Solyc09g014350.3,GPAT6,NM_001328431,Ensembl Plants BioMart,63,one_to_one
Solyc05g012020,,,,,gene-Solyc05g012020.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g108490,Solyc01g108490.3,protein_coding,Carboxypeptidase (AHRD V3.3 *** A0A1U8E723_CAPAN) && sp|A0A0C3VJP4|SCP1_MEDTR Serine carboxypeptidase 1 OS=Medicago truncatula OX=3880 GN=SCP1 PE=1 SV=3 && PF00450:Serine carboxypeptidase,Peptidase_S10,gene-Solyc01g108490.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g084600,Solyc10g084600.2,protein_coding,Plant protein 1589 of Uncharacterized protein function (AHRD V3.3 *-* A0A061EZD3_THECC) && - && PF09713:Plant protein 1589 of unknown function (A_thal_3526),-,gene-Solyc10g084600.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g080280,Solyc01g080280.3,protein_coding,"chloroplast glutamine synthetase && sp|O22506|GLNA2_DAUCA Glutamine synthetase, chloroplastic OS=Daucus carota OX=4039 GN=GLN2 PE=2 SV=1 && PF00120:Glutamine synthetase, catalytic domain|PF03951:Glutamine synthetase, beta-Grasp domain",-,,,,Ensembl Plants BioMart,63,not_mapped_in_export
Solyc05g014280,Solyc05g014280.4,protein_coding,"small heat shock protein 1 && sp|P09886|HS21C_PEA Small heat shock protein, chloroplastic OS=Pisum sativum OX=3888 GN=HSP21 PE=2 SV=1 && PF00011:Hsp20/alpha crystallin family",-,gene-Solyc05g014280.4,vis1,,Ensembl Plants BioMart,63,one_to_one
Solyc02g067750,Solyc02g067750.4,protein_coding,"Carbonic anhydrase (AHRD V3.3 *** A0A2G3D3J4_CAPCH) && sp|P27141|CAHC_TOBAC Carbonic anhydrase, chloroplastic OS=Nicotiana tabacum OX=4097 PE=2 SV=1 && PF00484:Carbonic anhydrase",-,gene-Solyc02g067750.4,ca3,NM_001246918,Ensembl Plants BioMart,63,one_to_one
Solyc01g099040,,,,,gene-Solyc01g099040.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc04g074110,Solyc04g074110.4,protein_coding,"Carbohydrate esterase && sp|Q8L9J9|CAES_ARATH Probable carbohydrate esterase At4g34215 OS=Arabidopsis thaliana OX=3702 GN=At4g34215 PE=1 SV=2 && PF03629:Carbohydrate esterase, sialic acid-specific acetylesterase",-,gene-Solyc04g074110.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc03g120570,Solyc03g120570.3,protein_coding,Protein NRT1/ PTR FAMILY 1.1 (AHRD V3.3 *** A0A2G2WPC3_CAPBA) && sp|Q9M817|PTR6_ARATH Protein NRT1/ PTR FAMILY 1.2 OS=Arabidopsis thaliana OX=3702 GN=NPF1.2 PE=1 SV=1 && PF00854:POT family,-,gene-Solyc03g120570.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g080410,Solyc01g080410.3,protein_coding,Peptide-methionine (R)-S-oxide reductase (AHRD V3.3 *** A0A1U8FLP0_CAPAN) && sp|Q9ZS91|MSRB5_ARATH Peptide methionine sulfoxide reductase B5 OS=Arabidopsis thaliana OX=3702 GN=MSRB5 PE=1 SV=1 && -,-,gene-Solyc01g080410.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g081790,Solyc08g081790.3,protein_coding,Dirigent protein (AHRD V3.3 *** K4CPH5_SOLLC) && sp|Q1ZZU9|DIR_SINHE Dirigent protein OS=Sinopodophyllum hexandrum OX=93608 GN=DIR PE=2 SV=1 && PF03018:Dirigent-like protein,-,gene-Solyc08g081790.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g014000,Solyc05g014000.5,protein_coding,Pectate lyase (AHRD V3.11 *** tr_A0A2G3B8Z4_A0A2G3B8Z4_CAPCH) && sp|Q9FXD8|PLY5_ARATH Probable pectate lyase 5 OS=Arabidopsis thaliana OX=3702 GN=At1g67750 PE=2 SV=2 && PF00544:Pectate lyase,-,gene-Solyc05g014000.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc07g051950,Solyc07g051950.3,protein_coding,S-type anion channel SLAH1 (AHRD V3.3 *** A0A2G2WD71_CAPBA) && sp|Q5E930|SLAH1_ARATH S-type anion channel SLAH1 OS=Arabidopsis thaliana OX=3702 GN=SLAH1 PE=2 SV=1 && PF03595:Voltage-dependent anion channel,C4dic_mal_tran,gene-Solyc07g051950.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g007240,Solyc08g007240.4,protein_coding,Nudix hydrolase 8 (AHRD V3.3 *** A0A1U8EVF7_CAPAN) && sp|Q8L7W2|NUDT8_ARATH Nudix hydrolase 8 OS=Arabidopsis thaliana OX=3702 GN=NUDT8 PE=2 SV=2 && PF18290:Nudix hydrolase domain|PF00293:NUDIX domain,NUDIX,gene-Solyc08g007240.4,,,Ensembl Plants BioMart,63,one_to_one
Solyc05g053310,Solyc05g053310.3,protein_coding,Stress responsive A/B Barrel domain containing protein (AHRD V3.3 *** A0A1Y1IK97_KLENI) && sp|Q9LUV2|POP3_ARATH Stress-response A/B barrel domain-containing protein HS1 OS=Arabidopsis thaliana OX=3702 GN=HS1 PE=1 SV=1 && PF07876:Stress responsive A/B Barrel Domain,-,gene-Solyc05g053310.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g047240,Solyc10g047240.2,protein_coding,annexin 9 && sp|P51074|ANX4_FRAAN Annexin-like protein RJ4 OS=Fragaria ananassa OX=3747 PE=2 SV=2 && PF00191:Annexin,-,gene-Solyc10g047240.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc01g109920,Solyc01g109920.3,protein_coding,late embryogenesis abundant protein (AHRD V3.11 *-* tr_A0A1U8E8Y4_A0A1U8E8Y4_CAPAN) && - && PF00257:Dehydrin,-,,,,Ensembl Plants BioMart,63,not_mapped_in_export
Solyc08g061020,,,,,gene-Solyc08g061020.1,,,Ensembl Plants BioMart,63,one_to_one
Solyc10g044680,Solyc10g044680.2,protein_coding,R2R3MYB transcription factor 55 && sp|Q8VZQ2|MYB61_ARATH Transcription factor MYB61 OS=Arabidopsis thaliana OX=3702 GN=MYB61 PE=2 SV=1 && PF00249:Myb-like DNA-binding domain,Myb_DNA-binding,gene-Solyc10g044680.2,,,Ensembl Plants BioMart,63,one_to_one
Solyc09g061890,Solyc09g061890.3,protein_coding,Pectate lyase (AHRD V3.3 *** A0A2G2VZE8_CAPBA) && sp|Q93WF1|PLY20_ARATH Probable pectate lyase 20 OS=Arabidopsis thaliana OX=3702 GN=At5g48900 PE=2 SV=1 && PF00544:Pectate lyase,-,gene-Solyc09g061890.3,,,Ensembl Plants BioMart,63,one_to_one
Solyc08g066240,Solyc08g066240.3,protein_coding,histidine decarboxylase && sp|P54772|DCHS_SOLLC Histidine decarboxylase OS=Solanum lycopersicum OX=4081 GN=HDC PE=2 SV=1 && PF00282:Pyridoxal-dependent decarboxylase conserved domain,-,gene-Solyc08g066240.3,,,Ensembl Plants BioMart,63,one_to_one
