probe_id,gene_id,mapping_status,max_exact_probe_hits,qualified_signature_targets
AFFX-CreX-3_at,,unmapped,0,
AFFX-r2-TagO-5_at,,unmapped,0,
AFFX-Les-r2-Ec-bioB-3_at,,unmapped,0,
Les.1020.1.A1_at,,unmapped,0,
AFFX-r2-Ec-bioC-5_at,,unmapped,0,
Les.1020.2.A1_at,,unmapped,0,
Les.1097.1.A1_at,,unmapped,0,
Les.1030.1.S1_at,,unmapped,0,
Les.1023.1.A1_at,,unmapped,0,
AFFX-r2-TagA_at,,unmapped,0,
AFFX-r2-Bs-thr-5_s_at,,unmapped,0,
AFFX-r2-P1-cre-3_at,,unmapped,0,
Les.1036.1.A1_at,,unmapped,0,
AFFX-Les-r2-Bs-dap-5_at,,unmapped,0,
Les.1.1.S1_at,,unmapped,0,
AFFX-Les-TrpnX-3_at,,unmapped,0,
Les.1046.1.S1_at,Solyc10g080900,one_to_one_signature_target,11,Solyc10g080900
AFFX-Les-actin-3_at,,unmapped,0,
Les.1065.1.A1_at,,unmapped,0,
Les.1091.1.A1_at,,unmapped,0,
Les.1049.1.S1_at,,unmapped,0,
AFFX-r2-TagQ-3_at,,unmapped,0,
Les.1078.1.A1_at,,unmapped,0,
AFFX-r2-TagF_at,,unmapped,0,
Les.109.1.S1_at,,unmapped,0,
Les.1030.2.A1_at,,unmapped,0,
AFFX-r2-Bs-phe-M_at,,unmapped,0,
Les.1007.1.A1_at,,unmapped,0,
AFFX-BioB-3_at,,unmapped,0,
AFFX-Les-r2-Bs-thr-M_s_at,,unmapped,0,
AFFX-r2-Bs-lys-M_at,,unmapped,0,
AFFX-Le_GlutTrans_3_at,,unmapped,0,
Les.1072.1.A1_at,Solyc08g061560,one_to_one_signature_target,11,Solyc08g061560
AFFX-r2-Bs-thr-M_s_at,,unmapped,0,
Les.1056.1.S1_at,,unmapped,0,
Les.1082.1.S1_at,,unmapped,0,
Les.103.1.S1_at,,unmapped,0,
AFFX-TrpnX-M_at,,unmapped,0,
Les.106.1.S1_at,,unmapped,0,
AFFX-BioDn-3_at,,unmapped,0,
AFFX-Les-ef1a-3_at,,unmapped,0,
AFFX-Les-r2-Bs-phe-3_at,,unmapped,0,
AFFX-Les-r2-Bs-lys-3_at,,unmapped,0,
Les.10.1.S1_at,,unmapped,0,
AFFX-Le_Ubiquitin_5_at,,unmapped,0,
AFFX-PheX-3_at,,unmapped,0,
Les.100.1.S1_at,,unmapped,0,
AFFX-LysX-5_at,,unmapped,0,
AFFX-ThrX-3_at,,unmapped,0,
AFFX-r2-TagB_at,,unmapped,0,
AFFX-r2-TagIN-3_at,,unmapped,0,
Les.1101.1.A1_at,,unmapped,0,
Les.1011.1.A1_at,,unmapped,0,
AFFX-Les-r2-Bs-dap-M_at,,unmapped,0,
Les.1092.2.S1_at,,unmapped,0,
AFFX-Les-r2-Ec-bioC-3_at,,unmapped,0,
AFFX-r2-Ec-bioD-5_at,,unmapped,0,
AFFX-Le_GlutTrans_M_r_at,,unmapped,0,
Les.1092.3.S1_at,,unmapped,0,
AFFX-r2-TagJ-3_at,,unmapped,0,
AFFX-Le_17SrRNA_at,,unmapped,0,
Les.1050.2.A1_at,,unmapped,0,
Les.100.1.A1_at,,unmapped,0,
AFFX-Les-r2-P1-cre-5_s_at,,unmapped,0,
AFFX-r2-Ec-bioB-3_at,,unmapped,0,
Les.110.1.S1_at,,unmapped,0,
Les.1092.1.A1_at,,unmapped,0,
AFFX-r2-TagG_at,,unmapped,0,
AFFX-r2-Bs-dap-5_at,,unmapped,0,
Les.1069.1.A1_at,,unmapped,0,
Les.1111.1.A1_at,,unmapped,0,
AFFX-Les-gapdh-3_at,,unmapped,0,
Les.1079.1.S1_at,,unmapped,0,
Les.1031.1.S1_at,,unmapped,0,
Les.1079.2.S1_at,,unmapped,0,
Les.1079.3.A1_at,,unmapped,0,
AFFX-BioC-3_at,,unmapped,0,
Les.1020.1.A1_a_at,,unmapped,0,
Les.1037.1.A1_at,,unmapped,0,
Les.1063.1.A1_at,,unmapped,0,
