gene_id,effect_source_a,effect_source_b,same_direction,minimum_absolute_effect,effect_GSE267238,effect_GSE128739,all_four_measured,matching_direction_count,all_four_same_direction,minimum_absolute_effect_percentile,mean_absolute_effect_percentile,evidence_scope,candidate_rank,gene_name,gene_biotype,gene_description,tf_family
Solyc02g065260,0.6795538039434523,0.7152855282738095,True,0.6795538039434523,7.924250517492633,8.84211821453818,True,4,True,0.9310344827586207,0.9670950465875607,cross_cohort_expression_replication_only,1,Solyc02g065260.4,protein_coding,Methylesterase 1 (AHRD V3.3 *** A0A2G3D300_CAPCH) && sp|Q6RYA0|SABP2_TOBAC Salicylic acid-binding protein 2 OS=Nicotiana tabacum OX=4097 GN=SABP2 PE=1 SV=1 && PF00561:alpha/beta hydrolase fold,Abhydrolase_1
Solyc11g010960,-0.7101585751488095,-0.8292120070684524,True,0.7101585751488095,-3.644282612750649,-5.823975914385177,True,4,True,0.8914549653579676,0.9394585689256989,cross_cohort_expression_replication_only,2,Solyc11g010960.2,protein_coding,Alcohol dehydrogenase (AHRD V3.3 *** A0A1Y1I027_KLENI) && sp|Q6V4H0|10HGO_CATRO 8-hydroxygeraniol dehydrogenase OS=Catharanthus roseus OX=4058 GN=10HGO PE=1 SV=1 && PF00107:Zinc-binding dehydrogenase|PF08240:Alcohol dehydrogenase GroES-like domain,ADH_N
Solyc01g095080,0.6965680803571429,0.6522739955357142,True,0.6522739955357142,5.506721048269272,7.7747675747508005,True,4,True,0.8879310344827587,0.9506998088715457,cross_cohort_expression_replication_only,3,Solyc01g095080.3,protein_coding,1-aminocyclopropane-1-carboxylic acid synthase-2 && sp|P18485|1A12_SOLLC 1-aminocyclopropane-1-carboxylate synthase 2 OS=Solanum lycopersicum OX=4081 GN=ACS2 PE=1 SV=2 && PF00155:Aminotransferase class I and II,Aminotran_1_2
Solyc12g088220,0.7594459170386907,0.6761823381696428,True,0.6761823381696428,3.468836311257699,8.582970004530107,True,4,True,0.8729792147806005,0.9380723899020467,cross_cohort_expression_replication_only,4,Solyc12g088220.2,protein_coding,"SlBCAT1 && sp|Q9M439|BCAT2_ARATH Branched-chain-amino-acid aminotransferase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BCAT2 PE=1 SV=1 && PF01063:Amino-transferase class IV",-
Solyc10g084600,0.6166178385416667,0.719366164434524,True,0.6166178385416667,3.47519746249349,5.965043851604818,True,4,True,0.8663793103448276,0.905821951899339,cross_cohort_expression_replication_only,5,Solyc10g084600.2,protein_coding,Plant protein 1589 of Uncharacterized protein function (AHRD V3.3 *-* A0A061EZD3_THECC) && - && PF09713:Plant protein 1589 of unknown function (A_thal_3526),-
Solyc08g005770,0.8120465959821429,0.6924525669642858,True,0.6924525669642858,3.3671073328306154,6.9468963341499785,True,4,True,0.8614318706697459,0.9389571055984709,cross_cohort_expression_replication_only,6,Solyc08g005770.3,protein_coding,alcohol acyl transferase && sp|Q3ZPN4|ACMAT_VITLA Methanol O-anthraniloyltransferase OS=Vitis labrusca OX=103355 GN=AMAT PE=1 SV=1 && PF02458:Transferase family,-
Solyc11g006250,-0.6651088169642858,-0.7680431547619048,True,0.6651088169642858,-3.3366136802125035,-6.004401423928874,True,4,True,0.8521939953810623,0.9210226367763,cross_cohort_expression_replication_only,7,Solyc11g006250.2,protein_coding,GDSL-motif lipase/hydrolase family protein 2 && sp|Q8LB81|GDL79_ARATH GDSL esterase/lipase At5g33370 OS=Arabidopsis thaliana OX=3702 GN=At5g33370 PE=2 SV=1 && PF00657:GDSL-like Lipase/Acylhydrolase,Lipase_GDSL
Solyc03g120570,0.5961914062500001,0.6704101562500002,True,0.5961914062500001,6.1021483695105445,7.714324803635738,True,4,True,0.8405172413793104,0.9303413932467945,cross_cohort_expression_replication_only,8,Solyc03g120570.3,protein_coding,Protein NRT1/ PTR FAMILY 1.1 (AHRD V3.3 *** A0A2G2WPC3_CAPBA) && sp|Q9M817|PTR6_ARATH Protein NRT1/ PTR FAMILY 1.2 OS=Arabidopsis thaliana OX=3702 GN=NPF1.2 PE=1 SV=1 && PF00854:POT family,-
Solyc05g014000,-0.5887858072916667,-0.6497977120535715,True,0.5887858072916667,-3.81795885391331,-6.836881555260241,True,4,True,0.8297413793103449,0.8993962530859282,cross_cohort_expression_replication_only,9,Solyc05g014000.5,protein_coding,Pectate lyase (AHRD V3.11 *** tr_A0A2G3B8Z4_A0A2G3B8Z4_CAPCH) && sp|Q9FXD8|PLY5_ARATH Probable pectate lyase 5 OS=Arabidopsis thaliana OX=3702 GN=At1g67750 PE=2 SV=2 && PF00544:Pectate lyase,-
Solyc01g080410,0.6901739211309523,0.5958775111607144,True,0.5958775111607144,4.367315306291384,5.96612489953244,True,4,True,0.8211206896551724,0.9085569801704229,cross_cohort_expression_replication_only,10,Solyc01g080410.3,protein_coding,Peptide-methionine (R)-S-oxide reductase (AHRD V3.3 *** A0A1U8FLP0_CAPAN) && sp|Q9ZS91|MSRB5_ARATH Peptide methionine sulfoxide reductase B5 OS=Arabidopsis thaliana OX=3702 GN=MSRB5 PE=1 SV=1 && -,-
