gene_id,effect_source_a,effect_source_b,same_direction,minimum_absolute_effect,effect_GSE267238,effect_GSE128739,all_four_measured,matching_direction_count,all_four_same_direction,minimum_absolute_effect_percentile,mean_absolute_effect_percentile,evidence_scope,candidate_rank,gene_name,gene_biotype,gene_description,tf_family,ensembl_gene_stable_id,ensembl_gene_name,refseq_mrna_id,annotation_source,annotation_release,mapping_status,published_regulator,published_edge_type,published_edge_direction,published_edge_context,studyshield_score,direction_consistency,trimmed_mean_effect_rank,weakest_absolute_effect_rank,heterogeneity,cohort_coverage,cohort_count,studyshield_rank,bootstrap_score_median,bootstrap_score_lower_95,bootstrap_score_upper_95,bootstrap_rank_median,top_k_selection_probability,permutation_count,studyshield_empirical_p,studyshield_bh_fdr,significant_matched_null_go_terms,atlas_claim,regulatory_claim_boundary,protein_measured,protein_log2_BR8_vs_MG,protein_de_log2_ratio,protein_de_p,protein_de_fdr,protein_differential_BR8_vs_MG,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,phosphosite_differential_BR8_vs_MG,protein_support_status,phosphosite_support_status,chromatin_support_status,multiomics_high_confidence,regulatory_candidate_grade,rin1_vs_wt_log2_fold_change,rin1_vs_wt_bh_fdr,rin1_vs_wt_differential,perturbation_support_status,tissue_context_count,tissue_context_direction_consistency,tissue_contexts_concordant,tissue_contexts_measured
Solyc02g065260,0.6795538039434523,0.7152855282738095,True,0.6795538039434523,7.924250517492633,8.84211821453818,True,4,True,0.9310344827586208,0.9670950465875608,cross_cohort_expression_replication_only,1.0,Solyc02g065260.4,protein_coding,Methylesterase 1 (AHRD V3.3 *** A0A2G3D300_CAPCH) && sp|Q6RYA0|SABP2_TOBAC Salicylic acid-binding protein 2 OS=Nicotiana tabacum OX=4097 GN=SABP2 PE=1 SV=1 && PF00561:alpha/beta hydrolase fold,Abhydrolase_1,gene-Solyc02g065260.4,,,Ensembl Plants BioMart,63,one_to_one,,,,,0.6968524900767223,1.0,0.9925931513725168,0.1225730699878392,0.3050983932597123,1.0,7,3528,0.6968707173329318,0.5629310589362728,0.9994769028722776,208.0,0.374,1000,0.0129870129870129,0.0269016697588126,,four_cohort_expression_consensus,no_regulatory_claim,False,,,,,,,,,,,,not_measured,none,none,False,expression_only_or_binding_only,,,,no_admitted_binding_record,11.0,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc11g010960,-0.7101585751488095,-0.8292120070684524,True,0.7101585751488095,-3.644282612750649,-5.823975914385177,True,4,True,0.8914549653579676,0.9394585689256988,cross_cohort_expression_replication_only,2.0,Solyc11g010960.2,protein_coding,Alcohol dehydrogenase (AHRD V3.3 *** A0A1Y1I027_KLENI) && sp|Q6V4H0|10HGO_CATRO 8-hydroxygeraniol dehydrogenase OS=Catharanthus roseus OX=4058 GN=10HGO PE=1 SV=1 && PF00107:Zinc-binding dehydrogenase|PF08240:Alcohol dehydrogenase GroES-like domain,ADH_N,gene-Solyc11g010960.2,,,Ensembl Plants BioMart,63,one_to_one,,,,,-0.9671442125783288,1.0,-0.9984168348873076,0.952017608217168,0.0174216316502091,0.8571428571428571,6,38,-0.9701476408326412,-0.998681770099366,-0.9341213697677104,31.5,1.0,1000,0.0029970029970029,0.0108641358641358,,four_cohort_expression_consensus,no_regulatory_claim,True,-3.357470476382516,-3.3578823507518263,3.74573140435098e-18,1.4087304593995402e-15,True,3.0,2.0586512954573015,2.0586512954573015,2.07159697311163e-10,Solyc11g010960.1.1_S4;Solyc11g010960.1.1_T26,True,differential_direction_concordant,differential_site,none,False,expression_only_or_binding_only,,,,no_admitted_binding_record,9.0,1.0,Collenchyma;Inner epidermis;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Inner epidermis;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc01g095080,0.6965680803571429,0.6522739955357142,True,0.6522739955357142,5.506721048269272,7.7747675747508,True,4,True,0.8879310344827587,0.9506998088715456,cross_cohort_expression_replication_only,3.0,Solyc01g095080.3,protein_coding,1-aminocyclopropane-1-carboxylic acid synthase-2 && sp|P18485|1A12_SOLLC 1-aminocyclopropane-1-carboxylate synthase 2 OS=Solanum lycopersicum OX=4081 GN=ACS2 PE=1 SV=2 && PF00155:Aminotransferase class I and II,Aminotran_1_2,gene-Solyc01g095080.3,ACS2,NM_001247249,Ensembl Plants BioMart,63,one_to_one,RIN,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit,0.7802877521116603,1.0,0.903766149446202,0.5184090241959156,0.2161011403922458,1.0,7,1812,0.7802937778894236,0.7197032572476256,0.999003612154846,162.0,0.766,1000,0.0069930069930069,0.0185414585414585,,four_cohort_expression_consensus,source_bound_context_limited,False,,,,,,,,,,,,not_measured,none,binding_only,True,binding_plus_independent_perturbation_expression,-4.705069544498115,0.0,True,binding_plus_independent_perturbation_expression,11.0,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc12g088220,0.7594459170386907,0.6761823381696428,True,0.6761823381696428,3.468836311257699,8.582970004530107,True,4,True,0.8729792147806005,0.9380723899020468,cross_cohort_expression_replication_only,4.0,Solyc12g088220.2,protein_coding,"SlBCAT1 && sp|Q9M439|BCAT2_ARATH Branched-chain-amino-acid aminotransferase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=BCAT2 PE=1 SV=1 && PF01063:Amino-transferase class IV",-,gene-Solyc12g088220.2,,,Ensembl Plants BioMart,63,one_to_one,,,,,0.9058875644811688,1.0,0.9930595020757184,0.7464041598523923,0.0872279889556548,1.0,7,299,0.9059376034750966,0.8610574244113756,0.9985130989701116,82.0,1.0,1000,0.0009990009990009,0.0073577216434359,,four_cohort_expression_consensus,no_regulatory_claim,True,2.0293790053079395,2.0291302830870275,4.663257198952851e-15,1.88395590837695e-13,True,1.0,2.0712392920293388,-2.0712392920293388,1.27996299095885e-10,Solyc12g088220.1.1_S219,True,differential_direction_concordant,differential_site,none,False,expression_only_or_binding_only,,,,no_admitted_binding_record,11.0,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc10g084600,0.6166178385416667,0.719366164434524,True,0.6166178385416667,3.47519746249349,5.965043851604818,True,4,True,0.8663793103448276,0.905821951899339,cross_cohort_expression_replication_only,5.0,Solyc10g084600.2,protein_coding,Plant protein 1589 of Uncharacterized protein function (AHRD V3.3 *-* A0A061EZD3_THECC) && - && PF09713:Plant protein 1589 of unknown function (A_thal_3526),-,gene-Solyc10g084600.2,,,Ensembl Plants BioMart,63,one_to_one,RIN,in_vivo_promoter_binding,binding_only,ripening_tomato_fruit;ITAG2;three_biological_replicates,0.6193190951826774,0.8571428571428571,0.991252295413216,0.7163374847989266,0.5980331297089939,1.0,7,5750,0.6193503487890868,0.3255951294595914,0.9931397074397325,250.0,0.32,1000,0.0129870129870129,0.0269016697588126,,four_cohort_expression_consensus,source_bound_context_limited,True,1.1960871131530977,1.1967558213466132,3.0270995758441195e-11,2.36007552895636e-10,True,,,,,,False,differential_direction_concordant,none,binding_only,True,binding_plus_independent_perturbation_expression,-3.657488137878465,2.1163279994005807e-92,True,binding_plus_independent_perturbation_expression,9.0,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Seeds;Septum;Total pericarp,Collenchyma;Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Seeds;Septum;Total pericarp
Solyc08g005770,0.8120465959821429,0.6924525669642858,True,0.6924525669642858,3.3671073328306154,6.9468963341499785,True,4,True,0.8614318706697459,0.9389571055984708,cross_cohort_expression_replication_only,6.0,Solyc08g005770.3,protein_coding,alcohol acyl transferase && sp|Q3ZPN4|ACMAT_VITLA Methanol O-anthraniloyltransferase OS=Vitis labrusca OX=103355 GN=AMAT PE=1 SV=1 && PF02458:Transferase family,-,gene-Solyc08g005770.3,AAT,NM_001247567,Ensembl Plants BioMart,63,one_to_one,RIN;SlJMJ6,chromatin_binding_h3k27me3_loss_and_upregulation;in_vivo_promoter_binding,binding_only;reported_activation_in_overexpression_context,SlJMJ6_overexpression_tomato_fruit;ripening_tomato_fruit;ITAG2;three_biological_replicates,0.5902991317626303,0.8333333333333334,0.9985081007678474,0.4512105649303008,0.5403848629494746,0.8571428571428571,6,7250,0.5903555765483703,0.2919796956646622,0.9983698523248228,323.0,0.344,1000,0.0389610389610389,0.0503563289078609,,four_cohort_expression_consensus,source_bound_context_limited,True,2.930122717526551,2.9303470393013704,1.0457088497407501e-17,2.65677540304307e-15,True,2.0,1.095866880228315,-1.095866880228315,3.02260631850803e-08,Solyc08g005770.2.1_S203;Solyc08g005770.2.1_S204,True,differential_direction_concordant,differential_site,source_bound_chromatin_plus_expression_context,True,binding_plus_independent_perturbation_expression,-4.802881188538453,9.920288075222488e-15,True,binding_plus_independent_perturbation_expression,11.0,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc11g006250,-0.6651088169642858,-0.7680431547619048,True,0.6651088169642858,-3.3366136802125035,-6.004401423928874,True,4,True,0.8521939953810623,0.9210226367763,cross_cohort_expression_replication_only,7.0,Solyc11g006250.2,protein_coding,GDSL-motif lipase/hydrolase family protein 2 && sp|Q8LB81|GDL79_ARATH GDSL esterase/lipase At5g33370 OS=Arabidopsis thaliana OX=3702 GN=At5g33370 PE=2 SV=1 && PF00657:GDSL-like Lipase/Acylhydrolase,Lipase_GDSL,gene-Solyc11g006250.2,CD1,NM_001320369,Ensembl Plants BioMart,63,one_to_one,,,,,-0.7955191375416844,1.0,-0.9981893371124754,0.4785179750550257,0.1937972473841826,0.8571428571428571,6,1569,-0.7956105377149478,-0.9982071065427104,-0.6984779580679127,147.0,0.756,1000,0.0269730269730269,0.0371379362477285,,four_cohort_expression_consensus,no_regulatory_claim,True,-0.2799516227531534,,,,False,,,,,,False,measured_direction_concordant,none,none,False,expression_only_or_binding_only,,,,no_admitted_binding_record,7.0,1.0,Collenchyma;Inner epidermis;Outer epidermis;Parenchyma;Septum;Total pericarp;Vascular tissue,Collenchyma;Inner epidermis;Outer epidermis;Parenchyma;Septum;Total pericarp;Vascular tissue
Solyc03g120570,0.5961914062500001,0.6704101562500002,True,0.5961914062500001,6.1021483695105445,7.714324803635738,True,4,True,0.8405172413793104,0.9303413932467944,cross_cohort_expression_replication_only,8.0,Solyc03g120570.3,protein_coding,Protein NRT1/ PTR FAMILY 1.1 (AHRD V3.3 *** A0A2G2WPC3_CAPBA) && sp|Q9M817|PTR6_ARATH Protein NRT1/ PTR FAMILY 1.2 OS=Arabidopsis thaliana OX=3702 GN=NPF1.2 PE=1 SV=1 && PF00854:POT family,-,gene-Solyc03g120570.3,,,Ensembl Plants BioMart,63,one_to_one,,,,,0.6627492802876589,1.0,0.9643833027168064,0.0312617939363441,0.3338952242850217,1.0,7,4428,0.6628022913122588,0.5228170545760471,0.9989050363241256,230.0,0.252,1000,0.0099900099900099,0.0235297697226631,,four_cohort_expression_consensus,no_regulatory_claim,False,,,,,,,,,,,,not_measured,none,none,False,expression_only_or_binding_only,,,,no_admitted_binding_record,11.0,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc05g014000,-0.5887858072916667,-0.6497977120535715,True,0.5887858072916667,-3.81795885391331,-6.836881555260241,True,4,True,0.8297413793103449,0.8993962530859282,cross_cohort_expression_replication_only,9.0,Solyc05g014000.5,protein_coding,Pectate lyase (AHRD V3.11 *** tr_A0A2G3B8Z4_A0A2G3B8Z4_CAPCH) && sp|Q9FXD8|PLY5_ARATH Probable pectate lyase 5 OS=Arabidopsis thaliana OX=3702 GN=At1g67750 PE=2 SV=2 && PF00544:Pectate lyase,-,gene-Solyc05g014000.4,,,Ensembl Plants BioMart,63,one_to_one,,,,,-0.6328289981959333,1.0,-0.8740262618578359,0.0553109405795278,0.3632393765907045,1.0,7,5309,-0.6328658309550708,-0.9985062004993664,-0.5150618257453228,260.0,0.086,1000,0.0129870129870129,0.0269016697588126,,four_cohort_expression_consensus,no_regulatory_claim,True,-2.4713495990627736,-2.463349937595824,1.49991924122082e-13,2.8093436703091996e-12,True,,,,,,False,differential_direction_concordant,none,none,False,expression_only_or_binding_only,,,,no_admitted_binding_record,11.0,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc01g080410,0.6901739211309523,0.5958775111607144,True,0.5958775111607144,4.367315306291384,5.96612489953244,True,4,True,0.8211206896551724,0.9085569801704227,cross_cohort_expression_replication_only,10.0,Solyc01g080410.3,protein_coding,Peptide-methionine (R)-S-oxide reductase (AHRD V3.3 *** A0A1U8FLP0_CAPAN) && sp|Q9ZS91|MSRB5_ARATH Peptide methionine sulfoxide reductase B5 OS=Arabidopsis thaliana OX=3702 GN=MSRB5 PE=1 SV=1 && -,-,gene-Solyc01g080410.3,,,Ensembl Plants BioMart,63,one_to_one,,,,,0.6117029181216355,0.8571428571428571,0.939210911118092,0.6274583805090788,0.5608887965098883,1.0,7,6092,0.6117307603833503,0.3314636350814333,0.9981418821182092,288.5,0.086,1000,0.0219780219780219,0.0337675569463649,,four_cohort_expression_consensus,no_regulatory_claim,True,2.0829085830173852,2.085373029305293,1.9393719355074e-15,9.47095481471968e-14,True,1.0,1.3620613510275164,-1.3620613510275164,1.47415788782572e-08,Solyc01g080410.2.1_S132,True,differential_direction_concordant,differential_site,none,False,expression_only_or_binding_only,,,,no_admitted_binding_record,11.0,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
